2Ki 1:1	ΚΑΙ ἠθέτησεν Μωὰβ ἐν Ἰσραὴλ μετὰ τὸ ἀποθανεῖν Ἀχαάβ.
2Ki 1:16	καὶ ἐλάλησεν πρὸς αὐτὸν καὶ εἶπεν Ἠλειού Τάδε λέγει Κύριος Τί ὅτι ἀπέστειλας ζητῆσαι ἐν τῇ Βάαλ μυῖαν θεὸν Ἀκκαρών; οὐχ οὕτως· ἡ κλίνη ἐφ᾽ ἧς ἀνέβης ἐκεῖ οὐ καταβήσῃ ἀπ᾽ αὐτῆς, ὅτι θανάτῳ ἀποθανῇ.
2Ki 1:17	καὶ ἀπέθανεν κατὰ τὸ ῥῆμα Κυρίου ὃ ἐλάλησεν Ἠλειού.
2Ki 1:18	καὶ τὰ λοιπὰ τῶν λόγων Ὀχοζείου ἃ ἐποίησεν, οὐκ ἰδοὺ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ; [1] καὶ Ἰωρὰμ υἱὸς Ἀχαὰβ βασιλεύει ἐπὶ Ἰσραὴλ ἐν Σαμαρείᾳ ἔτη δέκα δύο, ἐν ἔτει ὀκτωκαιδεκάτῳ Ἰωσαφὰθ βασιλέως Ἰούδα. [2] καὶ ἐποίησεν τὸ πονηρὸν ἐνώπιον Κυρίου, πλὴν οὐχ ὡς οἱ ἀδελφοὶ αὐτοῦ οὐδὲ ὡς ἡ μήτηρ αὐτοῦ· [3] καὶ ἀπέστειλεν τὰς στήλας τοῦ Βάαλ ἃς ἐποίησεν ὁ πατὴρ αὐτοῦ καὶ συνέτριψεν αὐτάς· πλὴν ἐν ταῖς ἁμαρτίαις οἴκου Ἰεροβοὰμ ὃς ἐξήμαρτεν τὸν Ἰσραὴλ ἐκολλήθη, οὐκ ἀπέστη ἀπ᾽ αὐτῶν. [4] καὶ ἐθυμώθη ὀργῇ Κύριος εἰς τὸν οἶκον Ἀχαάβ.
2Ki 2:1	Καὶ ἐγένετο ἐν τῷ ἀνάγειν Κύριον τὸν Ἠλειοὺ ἐν συνσεισμῷ ὡς εἰς τὸν οὐρανόν, καὶ ἐπορεύθη Ἠλειοὺ καὶ Ἐλεισαῖε ἐξ Ἰερειχώ.
2Ki 2:2	καὶ εἶπεν Ἠλειοὺ πρὸς Ἐλεισαῖε Ἰδοὺ δὴ ἐνταῦθα κάθου, ὅτι ὁ θεὸς ἀπέσταλκέν με ἕως Βαιθήλ. καὶ εἶπεν Ἐλεισαῖε Ζῇ Κύριος καὶ ζῇ ἡ ψυχή σου, εἰ καταλείψω σε· καὶ ἦλθεν εἰς Βαιθήλ.
2Ki 2:3	καὶ ἦλθον οἱ υἱοὶ τῶν προφητῶν οἱ ἐν Βαιθὴλ πρὸς Ἐλεισαῖε καὶ εἶπον πρὸς αὐτόν Εἰ ἔγνως ὅτι Κύριος σήμερον λαμβάνει τὸν κύριόν σου ἀπάνωθεν τῆς κεφαλῆς σου; καὶ εἶπεν Κἀγὼ ἔγνωκα, σιωπᾶτε.
2Ki 2:4	καὶ εἶπεν Ἠλειοὺ πρὸς Ἐλεισαῖε Κάθου δὴ ἐνταῦθα, ὅτι Κύριος ἀπέσταλκέν με εἰς Ἰερειχώ· καὶ εἶπεν Ζῇ Κύριος καὶ ζῇ ἡ ψυχή σου, εἰ ἐνκαταλείψω σε· καὶ ἦλθον εἰς Ἰερειχώ.
2Ki 2:5	καὶ ἤγγισαν οἱ υἱοὶ τῶν προφητῶν οἱ ἐν Ἰερειχὼ πρὸς Ἐλεισαῖε καὶ εἶπαν πρὸς αὐτόν Εἰ ἔγνως ὅτι σήμερον λαμβάνει Κύριος τὸν κύριόν σου ἐπάνωθεν τῆς κεφαλῆς σου; καὶ εἶπεν Καί γε ἐγὼ ἔγνων, σιωπᾶτε.
2Ki 2:6	καὶ εἶπεν αὐτῷ Ἠλειού Κάθου δὴ ὧδε, ὅτι Κύριος ἀπέσταλκέν με ἕως εἰς τὸν Ἰορδάνην· καὶ εἶπεν Ἐλεισαῖε Ζῇ Κύριος καὶ ζῇ ἡ ψυχή σου, εἰ ἐνκαταλείψω σε· καὶ ἐπορεύθησαν ἀμφότεροι.
2Ki 2:7	καὶ πεντήκοντα ἄνδρες υἱοὶ τῶν προφητῶν καὶ ἔστησαν ἐξ ἐναντίας μακρόθεν· καὶ ἀμφότεροι ἔστησαν ἐπὶ τοῦ Ἰορδάνου.
2Ki 2:8	καὶ ἔλαβεν Ἠλειοὺ τὴν μηλωτὴν αὐτοῦ καὶ εἵλησεν καὶ ἐπάταξεν τὸ ὕδωρ, καὶ διῃρέθη τὸ ὕδωρ ἔνθα καὶ ἔνθα· καὶ διέβησαν ἀμφότεροι ἐν ἐρήμῳ.
2Ki 2:9	καὶ ἐγένετο ἐν τῷ διαβῆναι αὐτοὺς καὶ Ἠλειοὺ εἶπεν πρὸς Ἐλεισαῖε Τί ποιήσω σοι πρὶν ἢ ἀναλημφθῆναί με ἀπὸ σοῦ; καὶ εἶπεν Ἐλεισαῖε Γενηθήτω δὴ διπλᾶ ἐν πνεύματί σου ἐπ᾽ ἐμέ.
2Ki 2:10	καὶ εἶπεν Ἠλειού Ἐσκλήρυνας τοῦ αἰτήσασθαι· ἐὰν ἴδῃς με ἀναλαμβανόμενον ἀπὸ σοῦ, καὶ ἔσται οὕτως· καὶ ἐὰν μή, οὐ μὴ γένηται.
2Ki 2:11	καὶ ἐγένετο αὐτῶν πορευομένων, ἐπορεύοντο καὶ ἐλάλουν· καὶ ἰδοὺ ἅρμα πυρὸς καὶ ἵππος πυρός, καὶ διέστειλεν ἀνὰ μέσον ἀμφοτέρων· καὶ ἀνελήμφθη Ἠλειοὺ ἐν συνσεισμῷ ὡς εἰς τὸν οὐρανόν.
2Ki 2:12	καὶ Ἐλεισαῖε ἑώρα, καὶ ἐβόα Πάτερ πάτερ, ἅρμα Ἰσραὴλ καὶ ἱππεὺς αὐτοῦ· καὶ οὐκ εἶδεν αὐτὸν ἔτι, καὶ ἐπελάβετο τῶν ἱματίων αὐτοῦ καὶ διέρρηξεν αὐτὰ εἰς δύο ῥήγματα.
2Ki 2:13	καὶ ὕψωσεν τὴν μηλωτὴν Ἠλειοὺ ἣ ἔπεσεν ἐπάνωθεν Ἐλεισαῖε· καὶ ἔστη ἐπὶ τοῦ χείλους τοῦ Ἰορδάνου.
2Ki 2:14	καὶ ἔλαβεν τὴν μηλωτὴν Ἠλειού, ἣ ἔπεσεν ἐπάνωθεν αὐτοῦ, καὶ ἐπάταξεν τὸ ὕδωρ καὶ εἶπεν Ποῦ ὁ θεὸς Ἠλειοὺ ἀφφώ; καὶ ἐπάταξεν τὰ ὕδατα, καὶ διερράγησαν ἔνθα καὶ ἔνθα· καὶ διέβη Ἐλεισαῖε.
2Ki 2:15	καὶ εἶδον αὐτὸν οἱ υἱοὶ τῶν προφητῶν καὶ οἱ ἐν Ἰερειχὼ ἐξ ἐναντίας καὶ εἶπον Ἐπαναπέπαυται τὸ πνεῦμα Ἠλειοὺ ἐπὶ Ἐλεισαῖε· καὶ ἦλθον εἰς συναντὴν αὐτοῦ καὶ προσεκύνησαν αὐτῷ ἐπὶ τὴν γῆν.
2Ki 2:16	καὶ εἶπον πρὸς αὐτόν Ἰδοὺ δὴ μετὰ τῶν παίδων σου πεντήκοντα ἄνδρες υἱοὶ δυνάμεως· πορευθέντες δὴ ζητησάτωσαν τὸν κύριόν σου, μή ποτε εὗρεν αὐτὸν πνεῦμα Κυρίου καὶ ἔρριψεν αὐτὸν ἐν τῷ Ἰορδάνῃ ἢ ἐφ᾽ ἓν τῶν ὀρέων ἢ ἐφ᾽ ἕνα τῶν βουνῶν· καὶ εἶπεν Ἐλεισαῖε Οὐκ ἀποστελεῖτε.
2Ki 2:17	καὶ παρεβιάσαντο αὐτὸν ἕως οὗ ᾐσχύνετο, καὶ εἶπεν Ἀποστείλατε. καὶ ἀπέστειλαν πεντήκοντα ἄνδρας, καὶ ἐζήτησαν τρεῖς ἡμέρας, καὶ οὐχ εὗρον αὐτόν.
2Ki 2:18	καὶ αὐτὸς ἐκάθητο ἐν Ἰερειχώ· καὶ εἶπεν Ἐλεισαῖε Οὐκ εἶπον πρὸς ὑμᾶς Μὴ πορευθῆτε;
2Ki 2:19	Καὶ εἶπον οἱ ἄνδρες τῆς πόλεως πρὸς Ἐλεισαῖε Ἰδοὺ ἡ κατοίκησις τῆς πόλεως ἀγαθή, καθὼς ὁ κύριος βλέπει, καὶ τὰ ὕδατα πονηρὰ καὶ ἡ γῆ ἀτεκνουμένη.
2Ki 2:20	καὶ εἶπεν Ἐλεισαῖν Λάβετέ μοι ὑδρίσκην καινὴν καὶ θέτε ἐκεῖ ἅλα· καὶ ἔλαβον πρὸς αὐτόν.
2Ki 2:21	καὶ ἐξῆλθεν Ἐλεισαῖν εἰς τὴν διέξοδον τῶν ὑδάτων, καὶ ἔριψεν ἐκεῖ ἅλα καὶ εἶπεν Τάδε λέγει Κύριος Ἴαμαι τὰ ὕδατα ταῦτα· οὐκ ἔσται ἔτι ἐκεῖθεν θάνατος καὶ ἀτεκνουμένη.
2Ki 2:22	καὶ ἰάθησαν τὰ ὕδατα ἕως τῆς ἡμέρας ταύτης κατὰ τὸ ῥῆμα Ἐλεισαῖε ὃ ἐλάλησεν.
2Ki 2:23	Καὶ ἀνέβη ἐκεῖθεν εἰς Βαιθήλ· καὶ ἀναβαίνοντος αὐτοῦ ἐν τῇ ὁδῷ καὶ παιδάρια μικρὰ ἐξῆλθον ἐκ τῆς πόλεως καὶ κατέπαιζον αὐτοῦ καὶ εἶπον αὐτῷ Ἀνάβαινε, φαλακρέ, ἀνάβαινε.
2Ki 2:24	καὶ ἐξένευσεν ὀπίσω αὐτῶν καὶ εἶδεν αὐτά, καὶ κατηράσατο αὐτοῖς ἐν ὀνόματι Κυρίου· καὶ ἰδοὺ ἐξῆλθον δύο ἄρκοι ἐκ τοῦ δρυμοῦ καὶ ἀνέρρηξαν ἀπ᾽ αὐτῶν τεσσεράκοντα καὶ δύο παῖδας.
2Ki 2:25	καὶ ἐπορεύθη ἐκεῖθεν εἰς τὸ ὄρος τὸ Καρμήλιον, καὶ ἐκεῖθεν ἐπέστρεψεν εἰς Σαμάρειαν.
2Ki 3:1	Καὶ Ἰωρὰμ υἱὸς Ἀχαὰβ ἐβασίλευσεν ἐν Ἰσραὴλ ἐν ἔτει ὀκτωκαιδεκάτῳ Ἰωσαφὰθ βασιλεῖ Ἰούδα, καὶ ἐβασίλευσεν δώδεκα ἔτη.
2Ki 3:2	καὶ ἐποίησεν τὸ πονηρὸν ἐν ὀφθαλμοῖς Κυρίου, πλὴν οὐχ ὡς ὁ πατὴρ αὐτοῦ καὶ οὐχ ὡς ἡ μήτηρ αὐτοῦ, καὶ μετέστησεν τὰς στήλας τοῦ Βάαλ ἃς ἐποίησεν ὁ πατὴρ αὐτοῦ·
2Ki 3:3	πλὴν ἐν τῇ ἁμαρτίᾳ Ἰεροβοὰμ υἱοῦ Ναβὰτ ὃς ἐξήμαρτεν τὸν Ἰσραὴλ ἐκολλήθη, οὐκ ἀπέστη ἀπ᾽ αὐτῆς.
2Ki 3:4	Καὶ Μωσὰ βασιλεὺς Μωὰβ ἦν νωκήθ, καὶ ἐπέστρεψεν τῷ βασιλεῖ Ἰσραὴλ ἐν τῇ ἐπαναστάσει ἑκατὸν χιλιάδας ἀρνῶν καὶ ἑκατὸν χιλιάδας κριῶν ἐπιπόκων.
2Ki 3:5	καὶ ἐγένετο μετὰ τὸ ἀποθανεῖν Ἀχαὰβ καὶ ἠθέτησεν βασιλεὺς Μωὰβ ἐν βασιλεῖ Ἰσραήλ.
2Ki 3:6	καὶ ἐξῆλθεν ὁ βασιλεὺς Ἰωρὰμ ἐν τῇ ἡμέρᾳ ἐκείνῃ ἐκ Σαμαρείας καὶ ἐπεσκέψατο τὸν Ἰσραήλ·
2Ki 3:7	καὶ ἐπορεύθη καὶ ἐξαπέστειλεν πρὸς Ἰωσαφὰθ βασιλέα Ἰούδα λέγων Βασιλεὺς Μωὰβ ἠθέτησεν ἐν ἐμοί· εἰ πορεύσῃ μετ᾽ ἐμοῦ εἰς Μωὰβ εἰς πόλεμον; καὶ εἶπεν Ἀναβήσομαι· ὅμοιός μοι ὅμοιός σοι, ὡς ὁ λαός μου ὁ λαός σου, ὡς οἱ ἵπποι μου οἱ ἵπποι σου.
2Ki 3:8	καὶ εἶπεν Ποίᾳ ὁδῷ ἀναβῶ; καὶ εἶπεν Ὁδὸν ἔρημον Ἐδώμ.
2Ki 3:9	καὶ ἐπορεύθη ὁ βασιλεὺς Ἰσραὴλ καὶ ὁ βασιλεὺς Ἰούδα καὶ βασιλεὺς Ἐδώμ, καὶ ἐκύκλωσαν ὁδὸν ἑπτὰ ἡμερῶν· καὶ οὐκ ἦν ὕδωρ τῇ παρεμβολῇ καὶ τοῖς κτήνεσιν τοῖς ἐν τοῖς ποσὶν αὐτῶν.
2Ki 3:10	καὶ εἶπεν βασιλεὺς Ἰσραήλ Ὤ, ὅτι κέκληκεν Κύριος τοὺς τρεῖς βασιλεῖς παρερχομένους δοῦναι αὐτοὺς ἐν χειρὶ Μωάβ.
2Ki 3:11	καὶ εἶπεν Ἰωσαφάθ Οὐκ ἔστιν ὧδε προφήτης τοῦ κυρίου καὶ ἐπιζητήσωμεν τὸν κύριον παρ᾽ αὐτοῦ; καὶ ἀπεκρίθη εἷς τῶν παίδων βασιλέως Ἰσραὴλ καὶ εἶπεν Ὧδε Ἐλεισαῖε υἱὸς Ἰωσαφάθ, ὃς ἐπέχεεν ὕδωρ ἐπὶ χεῖρας Ἠλειού.
2Ki 3:12	καὶ εἶπεν Ἰωσαφάθ Ἔστιν αὐτῷ ῥῆμα· καὶ κατέβη πρὸς αὐτὸν βασιλεὺς Ἰσραὴλ καὶ Ἰωσαφὰθ βασιλεὺς Ἰούδα καὶ βασιλεὺς Ἐδώμ.
2Ki 3:13	καὶ εἶπεν Ἐλεισαῖε πρὸς βασιλέα Ἰσραήλ Τί ἐμοὶ καὶ σοί; δεῦρο πρὸς τοὺς προφήτας τοῦ πατρός σου. καὶ εἶπεν αὐτῷ ὁ βασιλεὺς Ἰσραήλ Μή, ὅτι κέκληκεν Κύριος τοὺς τρεῖς βασιλεῖς τοῦ παραδοῦναι αὐτοὺς εἰς χεῖρας Μωάβ.
2Ki 3:14	καὶ εἶπεν Ἐλεισαῖε Ζῇ Κύριος τῶν δυνάμεων ᾧ παρέστην ἐνώπιον αὐτοῦ, ὅτι εἰ μὴ πρόσωπον Ἰωσαφὰθ βασιλέως Ἰούδα ἐγὼ λαμβάνω, ἦ ἐπέβλεψα πρὸς σὲ καὶ εἶδόν σε·
2Ki 3:15	καὶ νῦν λάβε μοι ψάλλοντα. καὶ ἐγένετο ὡς ἔψαλλεν ὁ ψάλλων, καὶ ἐγένετο ἐπ᾽ αὐτὸν χεὶρ Κυρίου·
2Ki 3:16	καὶ εἶπεν Τάδε λέγει Κύριος Ποιήσατε τὸν χειμάρρουν τοῦτον βοθύνους βοθύνους.
2Ki 3:17	ὅτι τάδε λέγει Κύριος Οὐκ ὄψεσθε πνεῦμα καὶ οὐκ ὄψεσθε ὑετόν, καὶ ὁ χειμάρρους οὗτος πλησθήσεται ὕδατος, καὶ πίεσθε ὑμεῖς καὶ αἱ κτήσεις ὑμῶν καὶ τὰ κτήνη ὑμῶν.
2Ki 3:18	καὶ κοῦφος καὶ αὕτη ἐν ὀφθαλμοῖς Κυρίου· καὶ παραδώσω τὴν Μωὰβ ἐν χειρὶ ὑμῶν.
2Ki 3:19	καὶ πατάξετε πᾶσαν πόλιν ὀχυράν, καὶ πᾶν ξύλον ἀγαθὸν καταβαλεῖτε, καὶ πάσας πηγὰς ὕδατος ἐμφράξατε, καὶ πᾶσαν μερίδα ἀγαθὴν ἀχρειώσετε ἐν λίθοις.
2Ki 3:20	καὶ ἐγένετο τὸ πρωὶ ἀναβαινούσης τῆς θυσίας, καὶ ἰδοὺ ὕδατα ἤρχοντο ἐξ ὁδοῦ Ἐδώμ, καὶ ἐπλήσθη ἡ γῆ ὕδατος.
2Ki 3:21	καὶ πᾶσα Μωὰβ ἤκουσαν ὅτι ἀνέβησαν οἱ βασιλεῖς πολεμεῖν αὐτούς· καὶ ἀνεβόησαν ἐκ παντὸς περιεζωσμένοι ζώνην καὶ εἶπον Ὤ. καὶ ἔστησαν ἐπὶ τοῦ ὁρίου.
2Ki 3:22	καὶ ὤρθρισαν τὸ πρωί, καὶ ὁ ἥλιος ἀνέτειλεν ἐπὶ τὰ ὕδατα· καὶ εἶδεν Μωὰβ ἐξ ἐναντίας τὰ ὕδατα πυρρὰ ὡσεὶ αἷμα,
2Ki 3:23	καὶ εἶπαν Αἷμα τοῦτο τῆς ῥομφαίας· ἐμαχέσαντο οἱ βασιλεῖς, καὶ ἐπάταξεν ἀνὴρ τὸν πλησίον αὐτοῦ· καὶ νῦν ἐπὶ τὰ σκῦλα, Μωάβ.
2Ki 3:24	καὶ εἰσῆλθον εἰς τὴν παρεμβολὴν Ἰσραήλ· καὶ Ἰσραὴλ ἀνέστησαν καὶ ἐπάταξαν τὴν Μωάβ, καὶ ἔφυγον ἀπὸ προσώπου αὐτῶν. καὶ εἰσῆλθον εἰσπορευόμενοι καὶ τύπτοντες τὴν Μωάβ,
2Ki 3:25	καὶ τὰς πόλεις καθεῖλον· καὶ πᾶσαν μερίδα ἀγαθήν, ἔρριψαν ἀνὴρ τὸν λίθον καὶ ἐνέπλησαν αὐτήν, καὶ πᾶσαν πηγὴν ἐνέφραξαν, καὶ πᾶν ξύλον ἀγαθὸν κατέβαλον ἕως τοῦ καταλιπεῖν τοὺς λίθους τοῦ τοίχου καθῃρημένους· καὶ ἐκύκλευσαν οἱ σφενδονῆται καὶ ἐπάταξαν αὐτήν.
2Ki 3:26	καὶ εἶδεν ὁ βασιλεὺς Μωὰβ ὅτι ἐκραταίωσεν ὑπὲρ αὐτὸν ὁ πόλεμος, καὶ ἔλαβεν μεθ᾽ ἑαυτοῦ ἑπτακοσίους ἄνδρας ἐσπασμένους ῥομφαίαν διακόψαι πρὸς βασιλέα Ἐδώμ· καὶ οὐκ ἠδυνήθησαν.
2Ki 3:27	καὶ ἔλαβεν τὸν υἱὸν αὐτοῦ τὸν πρωτότοκον, ὃς ἐβασίλευσεν ἀντ᾽ αὐτοῦ, καὶ ἀνήνεγκεν αὐτὸν ὁλοκαύτωμα ἐπὶ τοῦ τείχους· καὶ ἐγένετο μετάμελος μέγας ἐπὶ Ἰσραήλ. καὶ ἀπῆραν ἀπ᾽ αὐτοῦ καὶ ἐπέστρεψαν εἰς τὴν γῆν.
2Ki 4:1	Καὶ γυνὴ μία ἀπὸ τῶν υἱῶν τῶν προφητῶν ἐβόα πρὸς Ἐλεισαῖε λέγουσα Ὁ δοῦλός σου ὁ ἀνήρ μου ἀπέθανεν, καὶ σὺ ἔγνως ὅτι δοῦλος ἦν φοβούμενος τὸν κύριον· καὶ ὁ δανειστὴς ἦλθε λαβεῖν τοὺς δύο υἱούς μου ἑαυτῷ εἰς δούλους.
2Ki 4:2	καὶ εἶπεν Ἐλεισαῖε Τί ποιήσω σοι; τί ἔστιν σοι ἐν τῷ οἴκῳ; ἡ δὲ εἶπεν Οὐκ ἔστιν τῇ δούλῃ σου οὐθὲν ὅτι ἀλλ᾽ ἢ ὃ ἀλείψομαι ἔλαιον.
2Ki 4:3	καὶ εἶπεν πρὸς αὐτήν Δεῦρο αἴτησον σαυτῇ σκεύη ἔξωθεν παρὰ πάντων τῶν γειτόνων, σκεύη κενά· μὴ ὀλιγώσῃς.
2Ki 4:4	καὶ εἰσελεύσῃ καὶ ἀποκλείσεις τὴν θύραν κατὰ σοῦ καὶ κατὰ τῶν υἱῶν σου, καὶ ἀποχεεῖς εἰς τὰ σκεύη ταῦτα· καὶ τὸ πληρωθὲν ἀρεῖς.
2Ki 4:5	καὶ ἀπῆλθεν παρ᾽ αὐτοῦ, καὶ ἀπέκλεισεν τὴν θύραν κατ᾽ αὐτῆς καὶ κατὰ τῶν υἱῶν αὐτῆς· αὐτοὶ προσήγγιζον πρὸς αὐτήν, καὶ αὐτὴ ἐπέχεεν ἕως ἐπλήσθησαν τὰ σκεύη.
2Ki 4:6	καὶ εἶπεν πρὸς τοὺς υἱοὺς αὐτῆς Ἐγγίσατε ἔτι πρὸς μὲ τὸ σκεῦος· καὶ εἶπον αὐτῇ Οὐκ ἔστιν ἔτι σκεῦος· καὶ ἔστη τὸ ἔλαιον.
2Ki 4:7	καὶ ἦλθεν καὶ ἀπήγγειλεν τῷ ἀνθρώπῳ τοῦ θεοῦ· καὶ εἶπεν Ἐλεισαῖε Δεῦρο καὶ ἀπόδου τὸ ἔλαιον καὶ ἀποτίσεις τοὺς τόκους σου, καὶ σὺ καὶ οἱ υἱοί σου ζήσεσθε ἐν τῷ ἐπιλοίπῳ ἐλαίῳ.
2Ki 4:8	Καὶ ἐγένετο ἡμέρα καὶ διέβη Ἐλεισαῖε εἰς Σουμάν, καὶ ἐκεῖ γυνὴ μεγάλη καὶ ἐκράτησεν αὐτὸν φαγεῖν ἄρτον· καὶ ἐγένετο ἀφ᾽ ἱκανοῦ τοῦ εἰσπορεύεσθαι αὐτὸν ἐξέκλινεν τοῦ ἐκεῖ φαγεῖν.
