Jon 1:1	ΚΑΙ ἐγένετο λόγος κυρίου πρὸς Ἰωνᾶν τὸν τοῦ Ἀμαθεὶ λέγων,
Jon 3:7	καὶ ἐκηρύχθη καὶ ἐρρέθη ἐν τῇ Νινευὴ παρὰ τοῦ βασιλέως καὶ παρὰ τῶν μεγιστάνων αὐτοῦ λέγων Οἱ ἄνθρωποι καὶ τὰ κτήνη καὶ οἱ βόες καὶ τὰ πρόβατα μὴ γευσάσθωσαν μηδὲν μηδὲ νεμέσθωσαν μηδὲ ὕδωρ πιέτωσαν.
Jon 3:8	καὶ περιεβάλοντο σάκκους οἱ ἄνθρωποι καὶ τὰ κτήνη, καὶ ἀνεβόησαν πρὸς τὸν θεὸν ἐκτενῶς· καὶ ἀπέστρεψαν ἕκαστος ἀπὸ τῆς ὁδοῦ αὐτοῦ τῆς πονηρᾶς καὶ ἀπὸ τῆς ἀδικίας τῆς ἐν χερσὶν αὐτῶν, λέγοντες
Jon 3:9	Τίς οἶδεν εἰ μετανοήσει ὁ θεὸς καὶ ἀποστρέψει ἐξ ὀργῆς θυμοῦ αὐτοῦ, καὶ οὐ μὴ ἀπολώμεθα;
Jon 3:10	καὶ εἶδεν ὁ θεὸς τὰ ἔργα αὐτῶν, ὅτι ἀπέστρεψαν ἀπὸ τῶν ὁδῶν αὐτῶν τῶν πονηρῶν· καὶ μετενόησεν ὁ θεὸς ἐπὶ τῇ κακίᾳ ᾗ ἐλάλησεν τοῦ ποιῆσαι αὐτοῖς, καὶ οὐκ ἐποίησεν.
Jon 4:1	Καὶ ἐλυπήθη Ἰωνᾶς λύπην μεγάλην, καὶ συνεχύθη·
Jon 4:2	καὶ προσεύξατο πρὸς Κύριον καὶ εἶπεν Ὦ Κύριε, οὐχ οὗτοι οἱ λόγοι μου, ἔτι ὄντος μου ἐν τῇ γῇ μου; διὰ τοῦτο προέφθασα τοῦ φυγεῖν εἰς Θαρσείς, διότι ἔγνων ὅτι σὺ ἐλεήμων καὶ οἰκτίρμων, μακρόθυμος καὶ πολυέλεος καὶ μετανοῶν ἐπὶ ταῖς κακίαις.
Jon 4:3	καὶ νῦν, δέσποτα Κύριε, λάβε τὴν ψυχήν μου ἀπ᾽ ἐμοῦ, ὅτι καλὸν τὸ ἀποθανεῖν με ἢ ζῇν με.
Jon 4:4	καὶ εἶπεν Κύριος πρὸς Ἰωνᾶν Εἰ σφόδρα λελύπησαι σύ;
Jon 4:5	καὶ ἐξῆλθεν Ἰωνᾶς ἐκ τῆς πόλεως, καὶ ἐκάθισεν ἀπέναντι τῆς πόλεως· καὶ ἐποίησεν ἑαυτῷ ἐκεῖ σκηνὴν καὶ ἐκάθητο ὑποκάτω αὐτῆς ἐν σκιᾷ, ἕως οὗ ἀπίδῃ τί ἔσται τῇ πόλει.
Jon 4:6	καὶ προσέταξεν Κύριος ὁ θεὸς κολοκύνθῃ, καὶ ἀνέβη ὑπὲρ κεφαλῆς τοῦ Ἰωνᾶ τοῦ εἶναι σκιὰν ὑπεράνω τῆς κεφαλῆς αὐτοῦ, τοῦ σκιάζειν αὐτῷ ἀπὸ τῶν κακῶν αὐτοῦ· καὶ ἐχάρη Ἰωνᾶς ἐπὶ τῇ κολοκύνθῃ χαρὰν μεγάλην.
Jon 4:7	καὶ προσέταξεν ὁ θεὸς σκώληκι ἑωθινῇ τῇ ἐπαύριον, καὶ ἐπάταξεν τὴν κολόκυνθαν, καὶ ἀπεξηράνθη.
Jon 4:8	καὶ ἐγένετο ἅμα τῷ ἀνατεῖλαι τὸν ἥλιον καὶ προσέταξεν ὁ θεὸς πνεύματι καύσωνος συνκαίοντι, καὶ ἐπάταξεν ὁ ἥλιος ἐπὶ τὴν κεφαλὴν Ἰωνᾶ· καὶ ὠλιγοψύχησεν καὶ ἀπελέγετο τὴν ψυχὴν αὐτοῦ, καὶ εἶπεν Καλόν μοι ἀποθανεῖν με ἢ ζῇν.
Jon 4:9	καὶ εἶπεν ὁ θεὸς πρὸς Ἰωνᾶν Εἰ σφόδρα λελύπησαι σὺ ἐπὶ τῇ κολοκύνθῃ; καὶ εἶπεν Σφόδρα λελύπημαι ἐγὼ ἕως θανάτου.
Jon 4:10	καὶ εἶπεν Κύριος Σὺ ἐφείσω ὑπὲρ τῆς κολοκύνθης, ὑπὲρ ἧς οὐκ ἐκακοπάθησας ἐπ᾽ αὐτήν, καὶ οὐκ ἐξέθρεψας αὐτήν, ἣ ἐγενήθη ὑπὸ νύκτα καὶ ὑπὸ νύκτα ἀπώλετο.
Jon 4:11	ἐγὼ δὲ οὐ φείσομαι ὑπὲρ Νινευὴ τῆς πόλεως τῆς μεγάλης, ἐν ᾗ κατοικοῦσιν πλείους δώδεκα μυριάδες ἀνθρώπων, οἵτινες οὐκ ἔγνωσαν δεξιὰν αὐτῶν ἢ ἀριστερὰν αὐτῶν, καὶ κτήνη πολλά;
