Ecc 1:1	ΡΗΜΑΤΑ Ἐκκλησιαστοῦ υἱοῦ Δαυεὶδ βασιλέως Ἰσραὴλ ἐν Ἰερουσαλήμ.
Ecc 1:17	καὶ καρδία μου εἶδεν πολλά, σοφίαν καὶ γνῶσιν, καὶ ἔδωκα καρδίαν μου τοῦ γνῶναι σοφίαν καὶ γνῶσιν, παραβολὰς καὶ ἐπιστήμην ἔγνων ἐγώ. ὅτι καί γε τοῦτ᾽ ἔστιν προαίρεσις πνεύματος,
Ecc 1:18	ὅτι ἐν πλήθει σοφίας πλῆθος γνώσεως, καὶ ὁ προστιθεὶς γνῶσιν προσθήσει ἄλγημα.
Ecc 2:1	Εἶπον ἐγὼ ἐν καρδίᾳ μου Δεῦρο δὴ πειράσω σε ἐν εὐφροσύνῃ, καὶ ἴδε ἐν ἀγαθῷ· καὶ ἰδοὺ καί γε τοῦτο ματαιότης.
Ecc 2:2	τῷ γέλωτι εἶπα περιφοράν, καὶ τῇ εὐφροσύνῃ Τί τοῦτο ποιεῖς;
Ecc 2:3	καὶ κατεσκεψάμην εἰ ἡ καρδία μου ἑλκύσει ὡς οἶνον τὴν σάρκα μου· καὶ καρδία μου ὡδήγησεν ἐν σοφίᾳ καὶ τοῦ κρατῆσαι ἐπ᾽ εὐφροσύνῃ, ἕως οὗ ἴδω ποῖον τὸ ἀγαθὸν τοῖς υἱοῖς τῶν ἀνθρώπων ὃ ποιήσουσιν ὑπὸ τὸν ἥλιον ἀριθμὸν ἡμερῶν ζωῆς αὐτῶν.
Ecc 2:4	ἐμεγάλυνα ποίημά μου, ᾠκοδόμησά μοι οἴκους, ἐφύτευσά μοι ἀμπελῶνας,
Ecc 2:5	ἐποίησά μοι κήπους καὶ παραδείσους, καὶ ἐφύτευσα ἐν αὐτοῖς ξύλον πᾶν καρποῦ·
Ecc 2:6	ἐποίησά μοι κολυμβήθρας ὑδάτων τοῦ ποτίσαι ἀπ᾽ αὐτῶν δρυμὸν βλαστῶντα·
Ecc 2:7	ἐκτησάμην δούλους καὶ παιδίσκας, καὶ οἰκογενεῖς ἐγένοντό μοι, καί γε κτῆσις βουκολίου καὶ ποιμνίου πολλὴ ἐγένετό μοι ὑπὲρ πάντας τοὺς γενομένους ἔμπροσθέν μου ἐν Ἰερουσαλήμ·
Ecc 2:8	συνήγαγόν μοι καί γε ἀργύριον καί γε χρυσίον, καὶ περιουσιασμοὺς βασιλέων καὶ τῶν χωρῶν· ἐποίησά μοι ᾄδοντας καὶ ᾀδούσας ἐντρυφήματα υἱῶν ἀνθρώπων, οἰνοχόον καὶ οἰνοχόας·
Ecc 2:9	καὶ ἐμεγαλύνθην καὶ προσέθηκα παρὰ πάντας τοὺς γενομένους ἀπὸ ἔμπροσθέν μου ἐν Ἰερουσαλήμ· καί γε σοφία μου ἐστάθη μοι.
Ecc 2:10	καὶ πᾶν ὃ ᾔτησαν οἱ ὀφθαλμοί μου οὐκ ἀφεῖλον ἀπ᾽ αὐτῶν, οὐκ ἀπεκώλυσα τὴν καρδίαν μου ἀπὸ πάσης εὐφροσύνης μου, ὅτι καρδία μου εὐφράνθη ἐν παντὶ μόχθῳ μου· καὶ τοῦτο ἐγένετο μερίς μου ἀπὸ παντὸς μόχθου μου.
Ecc 2:11	καὶ ἐπέβλεψα ἐγὼ ἐν πᾶσιν ποιήμασίν μου οἷς ἐποίησαν αἱ χεῖρές μου, καὶ ἐν μόχθῳ ᾧ ἐμόχθησα τοῦ ποιεῖν, καὶ ἰδοὺ τὰ πάντα ματαιότης καὶ προαίρεσις πνεύματος, καὶ οὐκ ἔστιν περισσεία ὑπὸ τὸν ἥλιον.
Ecc 2:12	Καὶ ἐπέβλεψα ἐγὼ τοῦ ἰδεῖν σοφίαν καὶ παραφορὰν καὶ ἀφροσύνην· ὅτι τίς ἄνθρωπος ὅς ἐπελεύσεται ὀπίσω τῆς βουλῆς; τὰ ὅσα ἐποίησεν αὐτήν.
Ecc 2:13	καὶ εἶδον ἐγὼ ὅτι ἐστὶν περισσεία τῇ σοφίᾳ ὑπὲρ τὴν ἀφροσύνην, ὡς περισσεία τοῦ φωτὸς ὑπὲρ τὸ σκότος.
Ecc 2:14	τοῦ σοφοῦ οἱ ὀφθαλμοὶ αὐτοῦ ἐν κεφαλῇ αὐτοῦ, καὶ ὁ ἄφρων ἐν σκότει πορεύεται. καὶ ἔγνων καί γε ἐγὼ ὅτι συνάντημα ἓν συναντήσεται τοῖς πᾶσιν αὐτοῖς.
Ecc 2:15	καὶ εἶπα ἐγὼ ἐν καρδίᾳ μου Ὡς συνάντημα τοῦ ἄφρονος, καί γε ἐμοί, συναντήσεταί μοι· καὶ ἵνα τί ἐσοφισάμην; ἐγὼ περισσὸν ἐλάλησα ἐν καρδίᾳ μου ὅτι καί γε τοῦτο ματαιότης, διότι ὁ ἄφρων ἐκ περισσεύματος λαλεῖ.
Ecc 2:16	ὅτι οὐκ ἔστιν μνήμη τοῦ σοφοῦ μετὰ τοῦ ἄφρονος εἰς τὸν αἰῶνα, καθότι ἤδη αἱ ἡμέραι ἐρχόμεναι τὰ πάντα ἐπελήσθη· καὶ πῶς ἀποθανεῖται ὁ σοφὸς μετὰ τοῦ ἄφρονος;
Ecc 2:17	καὶ ἐμίσησα σὺν τὴν ζωήν, ὅτι πονηρὸν ἐπ᾽ ἐμὲ τὸ ποίημα τὸ πεποιημένον ὑπὸ τὸν ἥλιον, ὅτι πάντα ματαιότης καὶ προαίρεσις πνεύματος.
Ecc 2:18	καὶ ἐμίσησα ἐγὼ σύμπαντα μόχθον μου ὃν ἐγὼ κοπιῶ ⸂⸆⸃ ὑπὸ τὸν ἥλιον, ὅτι ἀφίω αὐτὸν τῷ ἀνθρώπῳ τῷ γινομένῳ μετ᾽ ἐμέ.
Ecc 2:19	καὶ τίς οἶδεν εἰ σοφὸς ἔσται ἢ ἄφρων; καὶ εἰ ἐξουσιάζεται ἐν παντὶ μόχθῳ μου ᾧ ἐμόχθησα καὶ ἐσοφισάμην ὑπὸ τὸν ἥλιον; καί γε τοῦτο ματαιότης.
Ecc 2:20	καὶ ἐπέστρεψα ἐγὼ τοῦ ἀποτάξασθαι τὴν καρδίαν μου ἐν παντὶ μόχθῳ μου ᾧ ἐμόχθησα ὑπὸ τὸν ἥλιον,
Ecc 2:21	ὅτι ἐστὶν ἄνθρωπος, ὅτι μόχθος αὐτοῦ ἐν σοφίᾳ καὶ ἐν γνώσει καὶ ἐν ἀνδρείᾳ· καὶ ἄνθρωπος ᾧ οὐκ ἐμόχθησεν ἐν αὐτῷ, δώσει αὐτῷ μερίδα αὐτοῦ· καί γε τοῦτο ματαιότης καὶ πονηρία μεγάλη.
Ecc 2:22	ὅτι γίνεται ἐν τῷ ἀνθρώπῳ ἐν παντὶ μόχθῳ αὐτοῦ καὶ ἐν προαιρέσει καρδίας αὐτοῦ ᾧ αὐτὸς μοχθεῖ ὑπὸ τὸν ἥλιον.
Ecc 2:23	ὅτι πᾶσαι αἱ ἡμέραι αὐτοῦ ἀλγημάτων καὶ θυμοῦ περισπασμὸς αὐτοῦ· καί γε ἐν νυκτὶ οὐ κοιμᾶται ἡ καρδία αὐτοῦ. καί γε τοῦτο ματαιότης ἐστίν.
Ecc 2:24	Οὐκ ἔστιν ἀγαθὸν ἀνθρώπῳ, ὃ φάγεται καὶ ὃ πίεται καὶ ὃ δείξει τῇ ψυχῇ αὐτοῦ ἀγαθὸν ἐν μόχθῳ αὐτοῦ· καί γε τοῦτο εἶδον ἐγὼ ὅτι ἀπὸ χειρὸς τοῦ θεοῦ ἐστιν·
Ecc 2:25	ὅτι τίς φάγεται καὶ τίς πίεται παρὲξ αὐτοῦ;
Ecc 2:26	ὅτι τῷ ἀνθρώπῳ τῷ ἀγαθῷ πρὸ προσώπου αὐτοῦ ἔδωκεν σοφίαν καὶ γνῶσιν καὶ εὐφροσύνην· καὶ τῷ ἁμαρτάνοντι ἔδωκεν περισπασμὸν τοῦ προσθεῖναι καὶ τοῦ συναγαγεῖν· τοῦ δοῦναι τῷ ἀγαθῷ πρὸ προσώπου τοῦ θεοῦ. ὅτι καί γε τοῦτο ματαιότης καὶ προαίρεσις πνεύματος.
Ecc 3:1	Τοῖς πᾶσιν ὁ χρόνος, καὶ καιρὸς παντὶ πράγματι τῷ ὑπὸ τὸν οὐρανόν.
Ecc 3:2	καιρὸς τοῦ τεκεῖν καὶ καιρὸς τοῦ ἀποθανεῖν, καιρὸς τοῦ φυτεῦσαι καὶ καιρὸς τοῦ ἐκτῖλαι πεφυτευμένον,
Ecc 3:3	καιρὸς τοῦ ἀποκτεῖναι καὶ καιρὸς τοῦ ἰάσασθαι, καιρὸς τοῦ καθελεῖν καὶ καιρὸς τοῦ οἰκοδομεῖν,
Ecc 3:4	καιρὸς τοῦ κλαῦσαι καὶ καιρὸς τοῦ γελάσαι, καιρὸς τοῦ κόψασθαι καὶ καιρὸς τοῦ ὀρχήσασθαι,
Ecc 3:5	καιρὸς τοῦ βαλεῖν λίθους καὶ καιρὸς τοῦ συναγαγεῖν λίθους, καιρὸς τοῦ περιλαβεῖν καὶ καιρὸς τοῦ μακρυνθῆναι ἀπὸ περιλήμψεως,
Ecc 3:6	καιρὸς τοῦ ζητῆσαι καὶ καιρὸς τοῦ ἀπολέσαι, καιρὸς τοῦ φυλάξαι καὶ καιρὸς τοῦ ἐκβαλεῖν,
Ecc 3:7	καιρὸς τοῦ ῥῆξαι καὶ καιρὸς τοῦ ῥάψαι, καιρὸς τοῦ σιγᾷν καὶ καιρὸς τοῦ λαλεῖν,
Ecc 3:8	καιρὸς τοῦ φιλῆσαι καὶ καιρὸς τοῦ μισῆσαι, καιρὸς πολέμου καὶ καιρὸς εἰρήνης.
Ecc 3:9	τίς περισσεία τοῦ ποιοῦντος ἐν οἷς αὐτὸς μοχθεῖ;
Ecc 3:10	εἶδον σὺν πάντα τὸν περισπασμὸν ὃν ἔδωκεν ὁ θεὸς τοῖς υἱοῖς τῶν ἀνθρώπων τοῦ περισπᾶσθαι ἐν αὐτῷ.
Ecc 3:11	τὰ σύμπαντα ἃ ἐποίησεν καλὰ ἐν καιρῷ αὐτοῦ· καί γε σύμπαντα τὸν αἰῶνα ἔδωκεν ἐν καρδίᾳ αὐτῶν, ὅπως μὴ εὕρῃ ὁ ἄνθρωπος τὸ ποίημα ὃ ἐποίησεν ὁ θεὸς ἀπ᾽ ἀρχῆς καὶ μέχρι τέλους.
Ecc 3:12	ἔγνων ὅτι οὐκ ἔστιν ἀγαθὸν ἐν αὐτοῖς, εἰ μὴ τοῦ εὐφρανθῆναι καὶ τοῦ ποιεῖν ἀγαθὸν ἐν ζωῇ αὐτοῦ·
Ecc 3:13	καί γε πᾶς ὁ ἄνθρωπος ὃς φάγεται καὶ πίεται καὶ ἴδῃ ἀγαθὸν ἐν παντὶ μόχθῳ αὐτοῦ, δόμα θεοῦ ἐστιν.
Ecc 3:14	ἔγνων ὅτι πάντα ὅσα ἐποίησεν ὁ θεὸς αὐτὰ ἔσται εἰς τὸν αἰῶνα· ἐπ᾽ αὐτῷ οὐκ ἔστιν προσθεῖναι, καὶ ἀπ᾽ αὐτοῦ οὐκ ἔστιν ἀφελεῖν καὶ ὁ θεὸς ἐποίησεν ἵνα φοβηθῶσιν ἀπὸ προσώπου αὐτοῦ.
Ecc 3:15	τὸ γενόμενον ἤδη ἐστίν, καὶ ὅσα τοῦ γίνεσθαι ἤδη γέγονεν, καὶ ὁ θεὸς ζητήσει τὸν διωκόμενον.
Ecc 3:16	Καὶ ἔτι εἶδον ὑπὸ τὸν ἥλιον τόπον τῆς κρίσεως, ἐκεῖ ὁ ἀσεβής· καὶ τόπον τοῦ δικαίου, ἐκεῖ ὁ εὐσεβής.
Ecc 3:17	καὶ εἶπα ἐγὼ ἐν καρδίᾳ μου Σὺν τὸν δίκαιον καὶ σὺν τὸν ἀσεβῆ κρινεῖ ὁ θεός· ὅτι καιρὸς τῷ παντὶ πράγματι καὶ ἐπὶ παντὶ τῷ ποιήματι.
Ecc 3:18	καὶ εἶπα ἐγὼ ἐν καρδίᾳ μου περὶ λαλιᾶς υἱῶν τοῦ ἀνθρώπου, ὅτι διακρινεῖ αὐτοὺς ὁ θεός, καὶ τοῦ δεῖξαι ὅτι αὐτοὶ κτήνη εἰσίν.
Ecc 3:19	καί γε αὐτοῖς οὐ συνάντημα υἱῶν τοῦ ἀνθρώπου καὶ συνάντημα τοῦ κτήνους; συνάντημα ἓν αὐτοῖς· ὡς ὁ θάνατος τούτου, οὕτως ὁ θάνατος τούτου, καὶ πνεῦμα ἓν τοῖς πᾶσιν. καὶ τί ἐπερίσσευσεν ὁ ἄνθρωπος παρὰ τὸ κτῆνος; οὐδέν, ὅτι πάντα ματαιότης.
Ecc 3:20	τὰ πάντα εἰς τόπον ἕνα, τὰ πάντα ἐγένετο ἀπὸ τοῦ χόος, καὶ τὰ πάντα ἐπιστρέψει εἰς τὸν χοῦν.
Ecc 3:21	καὶ τίς οἶδεν πνεῦμα υἱῶν τοῦ ἀνθρώπου, εἰ ἀναβαίνει αὐτὸ εἰς ἄνω; καὶ πνεῦμα τοῦ κτήνους, εἰ καταβαίνει αὐτὸ κάτω εἰς γῆν;
Ecc 3:22	καὶ εἶδον ὅτι οὐκ ἔστιν ἀγαθόν, εἰ μὴ ὃ εὐφρανθήσεται ὁ ἄνθρωπος ἐν ποιήμασιν αὐτοῦ, ὅτι αὐτὸ μερὶς αὐτοῦ· ὅτι τίς ἄξει αὐτὸν τοῦ ἰδεῖν ἐν ᾧ ἐὰν γένηται μετ᾽ αὐτόν;
Ecc 4:1	Καὶ ἐπέστρεψα ἐγὼ καὶ εἶδον συμπάσας τὰς συκοφαντίας τὰς γινομένας ὑπὸ τὸν ἥλιον· ἰδοὺ δάκρυον τῶν συκοφαντουμένων, καὶ οὐκ ἔστιν αὐτοῖς παρακαλῶν, καὶ ἀπὸ χειρὸς συκοφαντούντων αὐτοὺς ἰσχύς, καὶ οὐκ ἔστιν αὐτοῖς παρακαλῶν.
Ecc 4:2	καὶ ἐπῄνεσα ἐγὼ σύμπαντας τοὺς τεθνηκότας τοὺς ἤδη ἀποθανόντας ὑπὲρ τοὺς ζῶντας, ὅσοι αὐτοὶ ζῶσιν ἕως τοῦ νῦν·
Ecc 4:3	καὶ ἀγαθὸς ὑπὲρ τοὺς δύο τούτους ὅστις οὔπω ἐγένετο, ὃς οὐκ εἶδεν σὺν πᾶν τὸ ποίημα τὸ πονηρὸν τὸ πεποιημένον ὑπὸ τὸν ἥλιον.
Ecc 4:4	Καὶ ἴδον ἐγὼ σύμπαντα τὸν μόχθον καὶ σύμπασαν ἀνδρείαν τοῦ ποιήματος, ὅτι τὸ ζῆλος ἀνδρὶ ἀπὸ τοῦ ἑταίρου αὐτοῦ· καί γε τοῦτο ματαιότης καὶ προαίρεσις πνεύματος.
Ecc 4:5	ὁ ἄφρων περιέλαβεν τὰς χεῖρας αὐτοῦ καὶ ἔφαγεν τὰς σάρκας αὐτοῦ.
Ecc 4:6	ἀγαθὸν πλήρωμα δρακὸς ἀναπαύσεως ὑπὲρ πλήρωμα δύο δρακῶν μόχθου καὶ προαιρέσεως πνεύματος.
Ecc 4:7	Καὶ ἐπέστρεψα ἐγὼ καὶ ἴδον ματαιότητα ὑπὸ τὸν ἥλιον.
Ecc 4:8	ἔστιν εἷς καὶ οὐκ ἔστιν δεύτερος, καί γε υἱὸς καί γε ἀδελφὸς οὐκ ἔστιν αὐτῷ· καὶ οὐκ ἔστιν περασμὸς τῷ παντὶ μόχθῳ αὐτοῦ, καί γε ὀφθαλμὸς αὐτοῦ οὐκ ἐμπίπλαται πλούτου. καὶ τίνι ἐγὼ μοχθῶ καὶ στερίσκω τὴν ψυχήν μου ἀπὸ ἀγαθωσύνης; καί γε τοῦτο ματαιότης καὶ περισπασμὸς πονηρός ἐστιν.
Ecc 4:9	ἀγαθοὶ δύο ὑπὲρ τὸν ἕνα, οἷς ἐστιν αὐτοῖς μισθὸς ἀγαθὸς ἐν μόχθῳ αὐτῶν·
Ecc 4:10	ὅτι ἐὰν πέσωσιν, ὁ εἷς ἐγερεῖ τὸν μέτοχον αὐτοῦ· καὶ οὐαὶ αὐτῷ τῷ ἑνὶ ὅταν πέσῃ καὶ μὴ ᾖ δεύτερος ἐγεῖραι αὐτόν.
Ecc 4:11	καί γε ἂν κοιμηθῶσιν δύο, καὶ θέρμη αὐτοῖς· καὶ ὁ εἷς πῶς θερμανθῇ;
Ecc 4:12	καὶ ἐὰν ἐπικραταιωθῇ ὁ εἷς, οἱ δύο στήσονται κατέναντι αὐτοῦ, καὶ τὸ σπαρτίον τὸ ἔντριτον οὐ ταχὺ ἀπορραγήσεται.
Ecc 4:13	Ἀγαθὸς παῖς πένης καὶ σοφὸς ὑπὲρ βασιλέα πρεσβύτερον καὶ ἄφρονα, ὃς οὐκ ἔγνω τοῦ προσέχειν ἔτι·
Ecc 4:14	ὅτι ἐξ οἴκου τῶν δεσμίων ἐξελεύσεται τοῦ βασιλεῦσαι, ὅτι καί γε ἐν βασιλείᾳ αὐτοῦ ἐγενήθη πένης.
Ecc 4:15	ἴδον σύμπαντας τοὺς ζῶντας τοὺς περιπατοῦντας ὑπὸ τὸν ἥλιον μετὰ τοῦ νεανίσκου τοῦ δευτέρου, ὃς στήσεται ἀντ᾽ αὐτοῦ·
Ecc 4:16	οὐκ ἔστιν περασμὸς τῷ παντὶ λαῷ, τοῖς πᾶσιν οἳ ἐγένοντο ἔμπροσθεν αὐτῶν· καί γε οἱ ἔσχατοι οὐκ εὐφρανθήσονται ἐπ᾽ αὐτῷ. ὅτι καί γε τοῦτο ματαιότης καὶ προαίρεσις πνεύματος.
Ecc 4:17	Φύλαξον τὸν πόδα σου ἐν ᾧ ἐὰν πορεύῃ εἰς οἶκον τοῦ θεοῦ, καὶ ἐγγὺς τοῦ ἀκούειν· ὑπὲρ δόμα τῶν ἀφρόνων θυσία σου, ὅτι οὐκ εἰσὶν εἰδότες τοῦ ποιεῖν κακόν.
Ecc 5:1	μὴ σπεῦδε ἐπὶ στόματί σου, καὶ καρδία σου μὴ ταχυνάτω τοῦ ἐξενέγκαι λόγον πρὸ προσώπου τοῦ θεοῦ· ὅτι ὁ θεὸς ἐν τῷ οὐρανῷ ἄνω, καὶ σὺ ἐπὶ τῆς γῆς· διὰ τοῦτο ἔστωσαν οἱ λόγοι σου ὀλίγοι.
Ecc 5:2	ὅτι παραγίνεται ἐνύπνιον ἐν πλήθει πειρασμοῦ, καὶ φωνὴ ἄφρονος ἐν πλήθει λόγων.
Ecc 5:3	καθὼς εὔξῃ εὐχὴν τῷ θεῷ, μὴ χρονίσῃς τοῦ ἀποδοῦναι αὐτήν. οὐκ ἔστιν θέλημα ἐν ἄφροσιν· σὺ οὖν ὅσα ἐὰν εὔξῃ ἀπόδος.
Ecc 5:4	ἀγαθὸν τὸ μὴ εὔξασθαί σε, ἢ τὸ εὔξασθαί σε καὶ μὴ ἀποδοῦναι.
Ecc 5:5	μὴ δῷς τὸ στόμα σου τοῦ ἐξαμαρτῆσαι τὴν σάρκα σου, καὶ μὴ εἴπῃς πρὸ προσώπου τοῦ θεοῦ ὅτι Ἄγνοιά ἐστιν, ἵνα μὴ ὀργισθῇ ὁ θεὸς ἐπὶ φωνῇ σου καὶ διαφθείρῃ τὰ ποιήματα χειρῶν σῶν.
Ecc 5:6	ὅτι ἐν πλήθει ἐνυπνίων καὶ ματαιοτήτων καὶ λόγων πολλῶν· ὅτι σὺ τὸν θεὸν φοβοῦ.
Ecc 5:7	Ἐὰν συκοφαντίαν πένητος καὶ ἁρπαγὴν κρίματος καὶ δικαιοσύνης ἴδῃς ἐν χώρᾳ, μὴ θαυμάσῃς ἐπὶ τῷ πράγματι· ὑψηλὸς ἐπάνω ὑψηλοῦ φυλάξαι, καὶ ὑψηλοὶ ἐπ᾽ αὐτούς·
Ecc 5:8	καὶ περισσεία γῆς· ἐπὶ παντί ἐστι βασιλεὺς τοῦ ἀγροῦ εἰργασμένου.
Ecc 5:9	ἀγαπῶν ἀργύριον οὐ πλησθήσεται ἀργυρίου· καὶ τίς ἠγάπησεν ἐν πλήθει αὐτῶν γένημα; καί γε τοῦτο ματαιότης.
Ecc 5:10	ἐν πλήθει ἀγαθωσύνης ἐπληθύνθησαν ἔσθοντες αὐτήν· καὶ τί ἀνδρεία τῷ παρ᾽ αὐτῆς; ὅτι ἀρχὴ τοῦ ὁρᾷν ὀφθαλμὸν αὐτοῦ.
Ecc 5:11	γλυκὺς ὕπνος τοῦ δούλου εἰ ὀλίγον καὶ εἰ πολὺ φάγεται, καὶ τῷ ἐμπλησθέντι τοῦ πλουτῆσαι οὐκ ἔστιν ἀφίων αὐτὸν τοῦ ὑπνῶσαι.
Ecc 5:12	ἔστιν ἀρρωστία ἣν ἴδον ὑπὸ τὸν ἥλιον, πλοῦτον φυλασσόμενον τῷ παρ᾽ αὐτοῦ εἰς κακίαν αὐτῷ,
Ecc 5:13	καὶ ἀπολεῖται ὁ πλοῦτος ἐκεῖνος ἐν περισπασμῷ πονηρῷ, καὶ ἐγέννησεν υἱόν, καὶ οὐκ ἔστιν ἐν χειρὶ αὐτοῦ οὐδέν·
Ecc 5:14	καθὼς ἐξῆλθεν ἀπὸ γαστρὸς μητρὸς αὐτοῦ γυμνός, ἐπιστρέψει τοῦ πορευθῆναι ὡς ἥκει, καὶ οὐδὲν οὐ λήμψεται ἐν μόχθῳ αὐτοῦ, ἵνα πορευθῇ ἐν χειρὶ αὐτοῦ.
Ecc 5:15	καί γε τοῦτο πονηρὰ ἀρρωστία· ὥσπερ γὰρ παρεγένετο, οὕτως καὶ ἀπελεύσεται· καὶ ἡ περισσεία αὐτῷ ᾗ μοχθεῖ εἰς ἄνεμον.
Ecc 5:16	καί γε πᾶσαι αἱ ἡμέραι αὐτοῦ ἐν σκότει καὶ ἐν πένθει καὶ θυμῷ πολλῷ καὶ ἀρρωστίᾳ καὶ χόλῳ.
Ecc 5:17	Ἰδοὺ ἴδον ἐγὼ ἀγαθὸν ὅ ἐστιν καλόν, τοῦ φαγεῖν καὶ τοῦ πιεῖν καὶ τοῦ ἰδεῖν ἀγαθωσύνην ἐν παντὶ μόχθῳ αὐτοῦ ᾧ ἐὰν μοχθῇ ὑπὸ τὸν ἥλιον ἀριθμὸν ἡμερῶν ζωῆς αὐτοῦ ὧν ἔδωκεν αὐτῷ ὁ θεός· ὅτι αὐτὸ μερὶς αὐτοῦ.
Ecc 5:18	καί γε πᾶς ἄνθρωπος ᾧ ἔδωκεν αὐτῷ ὁ θεὸς πλοῦτον καὶ ὑπάρχοντα, καὶ ἐξουσίασεν αὐτῶν, φαγεῖν ἀπ᾽ αὐτοῦ καὶ λαβεῖν τὸ μέρος αὐτοῦ καὶ τοῦ εὐφρανθῆναι ἐν μόχθῳ αὐτοῦ, τοῦτο δόμα θεοῦ ἐστίν.
Ecc 5:19	ὅτι οὐκ ἄλλα μνησθήσεται τὰς ἡμέρας τῆς ζωῆς αὐτοῦ· ὅτι ὁ θεὸς περισπᾷ αὐτὸν ἐν εὐφροσύνῃ καρδίας αὐτοῦ.
Ecc 6:1	Ἔστιν πονηρία ἣν ἴδον ὑπὸ τὸν ἥλιον, καὶ πολλή ἐστιν ὑπὸ τὸν ἄνθρωπον·
Ecc 6:2	ἀνὴρ ᾧ δώσει αὐτῷ ὁ θεὸς πλοῦτον καὶ ὑπάρχοντα καὶ δόξαν, καὶ οὐκ ἔστιν ὑστερῶν τῇ ψυχῇ αὐτοῦ ἀπὸ πάντων ὧν ἐπιθυμήσει· καὶ οὐκ ἐξουσιάσει αὐτῷ ὁ θεὸς τοῦ φαγεῖν ἀπ᾽ αὐτοῦ, ὅτι ἀνὴρ ξένος φάγεται αὐτόν. τοῦτο ματαιότης καὶ ἀρρωστία πονηρά ἐστιν.
