Joe 1:1	ΛΟΓΟΣ Κυρίου ὃς ἐγενήθη πρὸς Ἰωὴλ τὸν τοῦ Βαθουήλ.
Joe 2:19	καὶ ἀπεκρίθη Κύριος καὶ εἶπεν τῷ λαῷ αὐτοῦ Ἰδοὺ ἐγὼ ἐξαποστέλλω ὑμῖν τὸν σῖτον καὶ τὸν οἶνον καὶ τὸ ἔλαιον, καὶ ἐμπλησθήσεσθε αὐτῶν, καὶ οὐ δώσω ὑμᾶς οὐκέτι εἰς ὀνειδισμὸν ἐν τοῖς ἔθνεσι·
Joe 2:20	καὶ τὸν ἀπὸ βορρᾶ ἐκδιώξω ἀφ᾽ ὑμῶν καὶ ἐξώσω αὐτὸν εἰς γῆν ἄνυδρον, καὶ ἀφανιῶ τὸ πρόσωπον αὐτοῦ εἰς τὴν θάλασσαν τὴν πρώτην, καὶ τὰ ὀπίσω αὐτοῦ εἰς τὴν θάλασσαν τὴν ἐσχάτην· καὶ ἀναβήσεται σαπρία αὐτοῦ, καὶ ἀναβήσεται ὁ βρόμος αὐτοῦ, ὅτι ἐμεγάλυνεν τὰ ἔργα αὐτοῦ.
Joe 2:21	θάρσει, γῆ, χαῖρε καὶ εὐφραίνου, ὅτι ἐμεγάλυνεν Κύριος τοῦ ποιῆσαι.
Joe 2:22	θαρσεῖτε, κτήνη τοῦ πεδίου, ὅτι βεβλάστηκεν πεδία τῆς ἐρήμου, ὅτι ξύλον ἤνεγκεν τὸν καρπὸν αὐτοῦ, συκῆ καὶ ἄμπελος ἔδωκαν τὴν ἰσχὺν αὐτῶν.
Joe 2:23	καὶ τὰ τέκνα Σειών, χαίρετε καὶ εὐφραίνεσθε ἐπὶ τῷ κυρίῳ θεῷ ὑμῶν, διότι ἔδωκεν ὑμῖν τὰ βρώματα εἰς δικαιοσύνην, καὶ βρέξει ὑμῖν ὑετὸν πρόιμον καὶ ὄψιμον καθὼς ἔμπροσθεν,
Joe 2:24	καὶ πλησθήσονται αἱ ἅλωνες σίτου, καὶ ὑπερχυθήσονται αἱ ληνοὶ οἴνου καὶ ἐλαίου.
Joe 2:25	καὶ ἀνταποδώσει ὑμῖν ἀντὶ τῶν ἐτῶν ὧν κατέφαγεν ἡ ἀκρὶς καὶ ὁ βροῦχος καὶ ἡ ἐρυσίβη καὶ ἡ κάμπη, ἡ δύναμίς μου ἡ μεγάλη ἣν ἐξαπέστειλα εἰς ὑμᾶς·
Joe 2:26	καὶ φάγεσθε ἐσθίοντες καὶ ἐμπλησθήσεσθε, καὶ αἰνέσετε τὸ ὄνομα Κυρίου τοῦ θεοῦ ὑμῶν, ἃ ἐποίησεν μεθ᾽ ὑμῶν εἰς θαυμάσια, καὶ οὐ μὴ καταισχυνθῇ ὁ λαός μου εἰς τὸν αἰῶνα·
Joe 2:27	καὶ ἐπιγνώσεσθε ὅτι ἐν μέσῳ τοῦ Ἰσραὴλ ἐγώ εἰμι, καὶ ἐγὼ Κύριος ὁ θεὸς ὑμῶν, καὶ οὐκ ἔστιν ἔτι πλὴν ἐμοῦ, καὶ οὐ μὴ καταισχυνθῶσιν ἔτι ὁ λαός μου εἰς τὸν αἰῶνα.
Joe 2:28	Καὶ ἔσται μετὰ ταῦτα καὶ ἐκχεῶ ἀπὸ τοῦ πνεύματός μου ἐπὶ πᾶσαν σάρκα, καὶ προφητεύσουσιν οἱ υἱοὶ ὑμῶν καὶ αἱ θυγατέρες ὑμῶν, καὶ οἱ πρεσβύτεροι ὑμῶν ἐνύπνια ἐνυπνιασθήσονται, καὶ οἱ νεανίσκοι ὑμῶν ὁράσεις ὄψονται·
Joe 2:29	καὶ ἐπὶ τοὺς δούλους μου καὶ ἐπὶ τὰς δούλας ἐν ταῖς ἡμέραις ἐκείναις ἐκχεῶ ἀπὸ τοῦ πνεύματός μου·
Joe 2:30	καὶ δώσω τέρατα ἐν τῷ οὐρανῷ, καὶ ἐπὶ τῆς γῆς αἷμα καὶ πῦρ καὶ ἀτμίδα καπνοῦ·
Joe 2:31	ὁ ἥλιος μεταστραφήσεται εἰς σκότος καὶ ἡ σελήνη εἰς αἷμα πρὶν ἐλθεῖν ἡμέραν Κυρίου τὴν μεγάλην καὶ ἐπιφανῆ·
Joe 2:32	καὶ ἔσται πᾶς ὃς ἂν ἐπικαλέσηται τὸ ὄνομα Κυρίου σωθήσεται· ὅτι ἐν τῷ ὄρει Σειὼν καὶ ἐν Ἰερουσαλὴμ ἔσται ἀνασωζόμενος, καθότι εἶπεν Κύριος, καὶ εὐαγγελιζόμενοι οὓς Κύριος προσκέκληται.
Joe 3:1	Διότι ἰδοὺ ἐγὼ ἐν ταῖς ἡμέραις ἐκείναις καὶ ἐν τῷ καιρῷ ἐκείνῳ ὅταν ἐπιστρέφω τὴν αἰχμαλωσίαν Ἰούδα καὶ Ἰερουσαλήμ,
Joe 3:2	καὶ συνάξω πάντα τὰ ἔθνη καὶ κατάξω αὐτὰ εἰς τὴν κοιλάδα Ἰωσαφάτ, καὶ διακριθήσομαι πρὸς αὐτοὺς ἐκεῖ ὑπὲρ τοῦ λαοῦ μου καὶ τῆς κληρονομίας μου Ἰσραήλ, οἳ διεσπάρησαν ἐν τοῖς ἔθνεσιν· καὶ τὴν γῆν μου καταδιείλαντο,
Joe 3:3	καὶ ἐπὶ τὸν λαόν μου ἔβαλον κλήρους, καὶ ἔδωκαν τὰ παιδάρια πόρναις, καὶ τὰ κοράσια ἐπώλουν ἀντὶ οἴνου καὶ ἔπινον.
Joe 3:4	καὶ τί ὑμεῖς ἐμοί, Τύρος καὶ Σειδών, καὶ πᾶσα Γαλειλαία ἀλλοφύλων; μὴ ἀνταπόδομα ὑμεῖς ἀνταποδίδοτέ μοι; ἢ μνησικακεῖτε ὑμεῖς ἐπ᾽ ἐμοὶ ὀξέως; καὶ ταχέως ἀνταποδώσω τὸ ἀνταπόδομα ὑμῶν εἰς κεφαλὰς ὑμῶν,
Joe 3:5	ἀνθ᾽ ὧν τὸ ἀργύριόν μου καὶ τὸ χρυσίον μου ἐλάβετε, καὶ τὰ ἐπίλεκτά μου καὶ τὰ καλὰ εἰσηνέγκατε εἰς τοὺς ναοὺς ὑμῶν·
Joe 3:6	καὶ τοὺς υἱοὺς Ἰούδα καὶ τοὺς υἱοὺς Ἰερουσαλὴμ ἀπέδοσθε τοῖς υἱοῖς τῶν Ἑλλήνων, ὅπως ἐξώσητε αὐτοὺς ἐκ τῶν ὁρίων αὐτῶν.
Joe 3:7	ἰδοὺ ἐγὼ ἐξεγείρω αὐτοὺς ἐκ τοῦ τόπου οὗ ἀπέδοσθε αὐτοὺς ἐκεῖ, καὶ ἀνταποδώσω τὸ ἀνταπόδομα ὑμῶν εἰς κεφαλὰς ὑμῶν,
Joe 3:8	καὶ ἀποδώσομαι τοὺς υἱοὺς ὑμῶν καὶ τὰς θυγατέρας ὑμῶν εἰς χεῖρας τῶν υἱῶν Ἰούδα, καὶ ἀποδώσονται αὐτοὺς εἰς αἰχμαλωσίαν εἰς ἔθνος μακρὰν ἀπέχον, ὅτι Κύριος ἐλάλησεν.
Joe 3:9	Κηρύξατε ταῦτα ἐν τοῖς ἔθνεσιν, ἁγιάσατε πόλεμον, ἐξεγείρατε τοὺς μαχητάς, καὶ προσαγάγετε καὶ ἀναβαίνετε πάντες ἄνδρες πολεμισταί,
Joe 3:10	συγκόψατε τὰ ἄροτρα ὑμῶν εἰς ῥομφαίας καὶ τὰ δρέπανα ὑμῶν εἰς σειρομάστας· ὁ ἀδύνατος λεγέτω ὅτι Ἰσχύω ἐγώ.
Joe 3:11	συναθροίζεσθε καὶ εἰσπορεύεσθε πάντα τὰ ἔθνη κυκλόθεν καὶ συνάχθητε ἐκεῖ· ὁ πρᾳὺς ἔστω μαχητής.
Joe 3:12	ἐξεγειρέσθωσαν, ἀναβαινέτωσαν πάντα τὰ ἔθνη εἰς τὴν κοιλάδα Ἰωσαφάτ, διότι ἐκεῖ καθιῶ τοῦ διακρῖναι πάντα τὰ ἔθνη κυκλόθεν.
Joe 3:13	ἐξαποστείλατε δρέπανα, ὅτι παρέστηκεν τρυγητός· εἰσπορεύεσθε, πατεῖτε, διότι πλήρης ἡ ληνός· ὑπερεκχεῖτε τὰ ὑπολήνια, ὅτι πεπλήθυνται τὰ κακὰ αὐτῶν.
Joe 3:14	ἦχοι ἐξήχησαν ἐν τῇ κοιλάδι τῆς δίκης, ὅτι ἐγγὺς ἡμέρα Κυρίου ἐν τῇ κοιλάδι τῆς δίκης.
Joe 3:15	ὁ ἥλιος καὶ ἡ σελήνη συσκοτάσουσιν, καὶ οἱ ἀστέρες δύσουσιν φέγγος αὐτῶν.
Joe 3:16	ὁ δὲ κύριος ἐκ Σειὼν ἀνακεκράξεται, καὶ ἐξ Ἰερουσαλὴμ δώσει φωνὴν αὐτοῦ, καὶ σεισθήσεται ὁ οὐρανὸς καὶ ἡ γῆ· ὁ δέ κύριος φείσεται τοῦ λαοῦ αὐτοῦ καὶ ἐνισχύσει τοὺς υἱοὺς Ἰσραήλ.
Joe 3:17	καὶ ἐπιγνώσεσθε διότι ἐγὼ Κύριος ὁ θεὸς ὑμῶν ὁ κατασκηνῶν ἐν Σειών, ἐν ὄρει ἁγίῳ μου· καὶ ἔσται Ἰερουσαλὴμ ἁγία, καὶ ἀλλογενεῖς οὐ διελεύσονται δι᾽ αὐτῆς οὐκέτι.
Joe 3:18	Καὶ ἔσται ἐν τῇ ἡμέρᾳ ἐκείνῃ ἀποσταλάξει τὰ ὄρη γλυκασμόν, καὶ οἱ βουνοὶ ῥυήσονται γάλα, καὶ πᾶσαι αἱ ἀφέσεις Ἰούδα ῥυήσονται ὕδατα, καὶ πηγὴ ἐξ οἴκου Κυρίου ἐξελεύσεται καὶ ποτιεῖ τὸν χειμάρρουν τῶν σχοίνων.
Joe 3:19	Αἴγυπτος εἰς ἀφανισμὸν ἔσται, καὶ ἡ Ἰδουμαία εἰς πεδίον ἀφανισμοῦ ἔσται ἐξ ἀδικιῶν υἱῶν Ἰούδα, ἀνθ᾽ ὧν ἐξέχεαν αἷμα δίκαιον ἐν τῇ γῇ αὐτῶν.
Joe 3:20	ἡ δὲ Ἰουδαία εἰς τὸν αἰῶνα κατοικηθήσεται, καὶ Ἰερουσαλὴμ εἰς γενεὰς γενεῶν·
Joe 3:21	καὶ ἐκζητήσω τὸ αἷμα αὐτῶν καὶ οὐ μὴ ἀθῳώσω, καὶ Κύριος κατασκηνώσει ἐν Σειών.
