Sut 1:1	ΚΑΙ ἦν ἀνὴρ οἰκῶν ἐν Βαβυλῶνι, καὶ ὄνομα αὐτῷ Ἰωακείμ.
Sut 1:52	ὡς δὲ διεχωρίσθησαν εἷς ἀπὸ τοῦ ἑνός, ἐκάλεσεν τὸν ἕνα αὐτῶν καὶ εἶπεν πρὸς αὐτὸν Πεπαλαιωμένε ἡμερῶν κακῶν, νῦν ἥκασιν αἱ ἁμαρτίαι σου ἃς ἐποίεις τὸ πρότερον,
Sut 1:53	κρίνων κρίσεις ἀδίκους, καὶ τοὺς μὲν ἀθῴους κατακρίνων, ἀπολύων δὲ τοὺς αἰτίους, λέγοντος τοῦ κυρίου Ἀθῷον καὶ δίκαιον οὐκ ἀποκτενεῖς.
Sut 1:54	νῦν οὖν ταύτην εἴπερ ἴδες, εἰπόν Ὑπὸ τί δένδρον ἴδες αὐτοὺς ὁμιλοῦντας ἀλλήλοις; ὁ δὲ εἶπεν Ὑπὸ σχῖνον.
Sut 1:55	εἶπεν δὲ Δανιήλ Ὀρθῶς ἔψευσαι εἰς τὴν σεαυτοῦ κεφαλήν· ἤδη γὰρ ἄγγελος τοῦ θεοῦ λαβὼν φάσιν παρὰ τοῦ θεοῦ σχίσει σε μέσον.
Sut 1:56	καὶ μεταστήσας αὐτὸν ἐκέλευσεν προσαγαγεῖν τὸν ἕτερον· καὶ εἶπεν αὐτῷ Σπέρμα Χανάαν καὶ οὐκ Ἰούδα, τὸ κάλλος ἐξηπάτησέν σε, καὶ ἐπιθυμία διέστρεψεν τὴν καρδίαν σου.
Sut 1:57	οὕτως ἐποιεῖτε θυγατράσιν Ἰσραήλ, καὶ ἐκεῖναι φοβούμεναι ὡμίλουν ὑμῖν· ἀλλ᾽ οὐ θυγάτηρ Ἰούδα ὑπέμεινεν τήν ἀνομίαν ὑμῶν.
Sut 1:58	νῦν οὖν λέγε μοι Ὑπὸ τί δένδρον κατέλαβες αὐτοὺς ὁμιλοῦντας ἀλλήλοις; ὁ δὲ εἶπεν Ὑπὸ πρῖνον.
Sut 1:59	εἶπεν δὲ αὐτῷ Δανιήλ Ὀρθῶς ἔψευσαι καὶ σὺ εἰς τὴν σεαυτοῦ κεφαλήν· μένει γὰρ ὁ ἄγγελος τοῦ θεοῦ τὴν ῥομφαίαν ἔχων πρίσαι σε μέσον, ὅπως ἐξολεθρεύσῃ ὑμᾶς.
Sut 1:60	Καὶ ἀνεβόησεν πᾶσα ἡ συναγωγὴ φωνῇ μεγάλῃ, καὶ εὐλόγησαν τῷ θεῷ τῷ σώζοντι τοὺς ἐλπίζοντας ἐπ᾽ αὐτόν.
Sut 1:61	καὶ ἀνέστησαν ἐπὶ τοὺς δύο πρεσβύτας, ὅτι συνέστησεν αὐτοὺς Δανιὴλ ἐκ τοῦ στόματος αὐτῶν ψευδομάρτυρας ὄντας, καὶ ἐποίησαν αὐτοῖς ὃν τρόπον ἐπονηρεύσαντο τῷ πλησίον,
Sut 1:62	ποιῆσαι κατὰ τὸν νόμον Μωυσῆ, καὶ ἀπέκτειναν αὐτούς· καὶ ἐσώθη αἷμα ἀναίτιον ἐν τῇ ἡμέρᾳ ἐκείνῃ.
Sut 1:63	Χελκίας δὲ καὶ ἡ γυνὴ αὐτοῦ ᾔνεσαν περὶ τῆς θυγατρὸς αὐτῶν μετὰ Ἰωακεὶμ τοῦ ἀνδρὸς αὐτῆς καὶ τῶν συνγενῶν πάντων, ὅτι οὐχ εὑρέθη ἐν αὐτῇ ἄσχημον πρᾶγμα.
Sut 1:64	Καὶ Δανιὴλ ἐγένετο μέγας ἐνώπιον τοῦ λαοῦ ἀπὸ τῆς ἡμέρας ἐκείνης καὶ ἐπέκεινα. ⸆
