1Ch 1:1	ΑΔΑΜ, Σήθ, Ἐνώς,
1Ch 2:31	καὶ υἱοὶ Ἐφράιμ Ἰσεμιήλ, καὶ υἱοὶ Ἰσεμιὴλ Σωσάν, καὶ υἱοὶ Σωσὰν Ἀχαί.
1Ch 2:32	καὶ υἱοὶ Ἰδουδά· Ἀχεισαμάς, Ἰέθερ, Ἰωναθάν· καὶ ἀπέθανεν Ἰέθερ οὐκ ἔχων τέκνα.
1Ch 2:33	καὶ υἱοὶ Ιωναθάν· Θάλεθ καὶ Ὀζάμ. οὗτοι ἦσαν υἱοὶ Ῥαμεήλ.
1Ch 2:34	καὶ οὐκ ἦσαν τῷ Σωσὰμ υἱοὶ ἀλλ᾽ ἢ θυγατέρες· καὶ τῷ Σωσὰμ παῖς Αἰγύπτιος, καὶ ὄνομα αὐτῷ Ἰωχήλ.
1Ch 2:35	καὶ ἔδωκεν Σωσὰν τὴν θυγατέρα αὐτοῦ τῷ Ἰωχὴλ παιδὶ αὐτοῦ εἰς γυναῖκα, καὶ ἔτεκεν αὐτῷ τὸν Ἐθθεί.
1Ch 2:36	καὶ Ἐθθεὶ ἐγέννησεν τὸν Ναθάν, καὶ Ναθὰν ἐγέννησεν τὸν Ζαβέδ,
1Ch 2:37	καὶ Ζαβὲδ ἐγέννησεν τὸν Ἀφαμήλ, καὶ Ἀφαμὴλ ἐγέννησεν τὸν Ὠβήδ,
1Ch 2:38	καὶ Ὠβὴδ ἐγέννησεν τὸν Ἰησοῦν, καὶ Ἰησοῦς ἐγέννησεν τὸν Ἀζαρίαν,
1Ch 2:39	καὶ Ἀζαριὰ ἐγέννησεν τὸν Χέλλης, καὶ Χέλλης ἐγέννησεν τὸν Ἐμάς,
1Ch 2:40	καὶ Ἐμὰς ἐγέννησεν τὸν Σοσομαί, καὶ Σοσομαὶ ἐγέννησεν τὸν Σαλούμ,
1Ch 2:41	καὶ Σαλοὺμ ἐγέννησεν τὸν Ἰεχεμείαν, καὶ Ἰεχεμείας ἐγέννησεν τὸν Ἐλεισαμά.
1Ch 2:42	καὶ υἱοὶ Χαλὲβ ἀδελφοῦ Ἰερεμεήλ· Μαρεισὰ ὁ πρωτότοκος αὐτοῦ, οὗτος πατὴρ Ζείφ· καὶ υἱοὶ Μαρεισὰ πατρὸς Χεβρών.
1Ch 2:43	καὶ υἱοὶ Χεβρών· Κόρεε καὶ Θαποὺς καὶ Ῥέκομ καὶ Σεμάα.
1Ch 2:44	καὶ Σεμάα ἐγέννησεν τὸν Ῥάμεε πατέρα Ἰακλάν, καὶ Ἰεκλάν ἐγέννησεν τὸν Σαμαί·
1Ch 2:45	καὶ υἱὸς αὐτοῦ Μεών, καὶ Μεὼν πατήρ Γεδσούρ.
1Ch 2:46	καὶ Γαιφαὴλ παλλακὴ Χαλὲβ ἐγέννησεν τὸν Ἁρρὰν καὶ τὸν Ἰωσὰν καὶ τὸν Γεζοῦε. καὶ Ἁρρὰν ἐγέννησεν τὸν Γεζοῦε.
1Ch 2:47	καὶ υἱοὶ Ἰησοῦ· Ῥάγεμ καὶ Ἰωαθὰμ καὶ Σωγὰρ καὶ Φάλεκ καὶ Γαιφὰ καὶ Σὰγαε.
1Ch 2:48	καὶ ἡ παλλακὴ Χαλὲβ Μωχὰ ἐγέννησεν τὸν Σάβερ καὶ τὸν Θαράμ.
1Ch 2:49	καὶ ἐγέννησεν Σάγαε πατέρα Μαρμηνὰ καὶ τὸν Σαοὺ πατέρα Μαχαβηνὰ καὶ πατέρα Γαιβάλ· καὶ θυγάτηρ Χαλὲβ Ἀσχά.
1Ch 2:50	οὗτοι ἦσαν υἱοὶ Χαλέβ. υἱοὶ Ὣρ πρωτοτόκου Ἐφράθα· Σωβὰρ πατὴρ Καριαθιαρείμ,
1Ch 2:51	Σαλωμὼν πατὴρ Βαιθά, Λαμμὼν πατὴρ Βαιθαλάεμ, Ἁρεὶμ πατὴρ Βαιθγαιδών.
1Ch 2:52	καὶ ἦσαν υἱοὶ τῷ Σωβὰλ πατρὶ Καριαθιαρείμ, Αἱώ, Ἑσειρά, Μωναιώ,
1Ch 2:53	Ἐμοσφεώς, πόλεις Ἰαείρ· Αἱθαλεὶμ καὶ Μειφειθεὶμ καὶ Ἡσαμαθεὶμ καὶ Ἡμασαραείμ· ἐκ τούτων ἐξήλθοσαν οἱ Σαραθαῖοι καὶ υἱοὶ Ἐσθάαμ.
1Ch 2:54	υἱοὶ Σαλωμών· Βαιθλάεμ, Μετωφαθεί, Ἀταρὼθ οἴκου Ἰωὰβ καὶ ἥμισυ τῆς Μαλαθεἰ, Ἡσαρεί,
1Ch 2:55	πατριαὶ γραμμάτων κατοικοῦντες Γαμές, Ἀργαθιείμ, Σαμαθιείμ, Σωκαθιείμ· οὗτοι οἱ Κειναῖοι οἱ ἐλθόντες ἐκ Μεσημὰ πατρὸς οἴκου Ῥηχά.
1Ch 3:1	Καὶ οὗτοι ἦσαν υἱοὶ Δαυεὶδ οἱ τεχθέντες αὐτῷ ἐν Χεβρών· ὁ πρωτότοκος Ἀμνὼν τῇ Ἀχεινάαμ τῇ Ἰσραηλείτιδι, ὁ δεύτερος Δαμνιὴλ τῇ Ἀβειγαίᾳ τῇ Καρμηλίᾳ,
1Ch 3:2	ὁ τρίτος Ἀβεσσλὼμ υἱὸς Μωχὰ θυγατρὸς θοαμαὶ βασιλέως Γεδσούρ, ὁ τέταρτος Ἀδωνειὰ υἱὸς Ἁγγείθ,
1Ch 3:3	ὁ πέμπτος Σαβατειὰ τῆς Σαβειτάλ, ὁ ἕκτος Ἰθαρὰμ τῇ Ἀλὰ γυναικὶ αὐτοῦ.
1Ch 3:4	ἓξ ἐγεννήθησαν αὐτῷ ἐν Χεβρών. καὶ τριάκοντα καὶ τρία ἔτη ἐβασίλευσεν ἐν Ἰερουσαλήμ.
1Ch 3:5	καὶ οὗτοι ἐτέχθησαν αὐτῷ ἐν Ἰερουσαλήμ· Σάμαν, Σωβάν, Ναθὰν καὶ Σαλωμών, τέσσαρες τῇ Βηρσάβεε θυγατρὶ Ἀμιήλ,
1Ch 3:6	καὶ Βαὰρ καὶ Ἐλεισὰ καὶ Ἐλειφαλὴθ
1Ch 3:7	καὶ Νάγαι καὶ Νάφαθ καὶ Ἰανοῦε
1Ch 3:8	καὶ Ἐλεισαμὰ καὶ Ἐλειδὰ καὶ Ἐλειφάλα, ἐννέα·
1Ch 3:9	πάντες υἱοὶ Δαυείδ, πλὴν τῶν υἱῶν τῶν παλλακῶν· καὶ Θημὰρ ἀδελφὴ αὐτῶν.
1Ch 3:10	Υἱοὶ Σαλωμών· Ῥοβοάμ, Ἀβειὰ υἱὸς αὐτοῦ, Ἀσὰ υἱὸς αὐτοῦ, Ἰωσαφὰτ υἱὸς αὐτοῦ,
1Ch 3:11	Ἰωρὰμ υἱὸς αὐτοῦ, Ὀζειὰ υἱὸς αὐτοῦ, Ἰωὰς υἱὸς αὐτοῦ,
1Ch 3:12	Ἀμασίας υἱὸς αὐτοῦ, Ἀζαριὰ υἱὸς αὐτοῦ, Ἰωαθὰν υἱὸς αὐτοῦ,
1Ch 3:13	Ἀχὰς υἱὸς αὐτοῦ, Ἑζεκίας υἱὸς αὐτοῦ, Μανασσῆς υἱὸς αὐτοῦ,
1Ch 3:14	Ἀμνὼν υἱὸς αὐτοῦ, Ἰωσειὰ υἱὸς αὐτοῦ.
1Ch 3:15	καὶ υἱοὶ Ἰωσειά· πρωτότοκος Ἰωανάν, ὁ δεύτερος Ἰωακείμ, ὁ τρίτος Σεδεκιά, ὁ τέταρτος Σαλούμ.
1Ch 3:16	καὶ υἱοὶ Ἰωακείμ· Ἰεχονίας υἱὸς αὐτοῦ, Σεδεκίας υἱὸς αὐτοῦ.
1Ch 3:17	καὶ υἱοὶ Ἰεχονία· Ἀσείρ, Σαλαθιὴλ υἱὸς αὐτοῦ,
1Ch 3:18	Μελχειρὰμ καὶ Φαλδαίας καὶ Σανεσὰρ καὶ Ἰεκενιὰ καὶ Ὡσαμὼθ καὶ Δενεθεί.
1Ch 3:19	καὶ υἱοὶ Σαλαθιήλ· Ζοροβάβελ· Μοσολόαμος καὶ Ἁνανιά, καὶ Σαλωμεθεὶ ἀδελφὴ αὐτῶν,
1Ch 3:20	καὶ Ἁσουβὲ καὶ Ὀσὰ καὶ Βαραχιαὶ καὶ Ἁσαδιὰ καὶ Ἀροβάσοκ, πέντε.
1Ch 3:21	καὶ υἱοὶ Ἁνανιά, Φαλλετί, καὶ Ἰσαβὰ υἱὸς αὐτοῦ, Ῥαφὰλ υἱὸς αὐτοῦ, Ὀρνὰ υἱὸς αὐτοῦ, Ἀβδειὰ υἱὸς αὐτοῦ, Σεχενιὰ υἱὸς αὐτοῦ.
1Ch 3:22	καὶ υἱὸς Σεχενιά· Σαμαιά. καὶ υἱὸς Σαμαιά· Χαττούς, καὶ Ἰωὴλ καὶ Μαρεὶ καὶ Νωαδειὰ καὶ Σαφάθ, ἕξ.
1Ch 3:23	καὶ υἱοὶ Νωαδειὰ· Ἐλειθανὰ καὶ Ἑζεκιὰ καὶ Ἐζρεικάν, τρεῖς.
1Ch 3:24	καὶ υἱοὶ Ἐλειθενάν· Ὁδολιὰ καὶ Ἀσεὶβ καὶ Φαρὰ καὶ Ἰακοὺν καὶ Ἰωανὰν καὶ Δαλααιὰ καὶ Μανεί, ἑπτά.
1Ch 4:1	Καὶ υἱοὶ Ἰούδα· Φάρες, Ἁρσὼν καὶ Χαρμεὶ καὶ Ὥρ, Σουβάλ,
1Ch 4:2	καὶ Ῥαδὰ υἱὸς αὐτοῦ· καὶ Σουβὰλ ἐγέννησεν τὸν Ἴεθ, καὶ Ἴεθ ἐγέννησεν τὸν Ἀχειμεὶ καὶ τὸν Λάαθ· αὗται αἱ γενέσεις τοῦ Ἀραθεί.
1Ch 4:3	καὶ οὗτοι υἱοὶ Αἰτάν· Ἀζραὴλ καὶ Ῥαγμὰ καὶ Ἰαβάς, καὶ ὄνομα ἀδελφῆς αὐτῶν Ἑσηλεββών.
1Ch 4:4	καὶ Φανουὴλ πατὴρ Γεδώρ, καὶ Ἀζὴρ πατὴρ Ὡσάν· οὗτοι υἱοὶ Ὣρ τοῦ πρωτοτόκου Ἐφράθα πατρὸς Βαιθλάδεν.
1Ch 4:5	καὶ τῷ Σαρὰ πατρὶ Θεκῶε ἦσαν δύο γυναῖκες, Ἁωδὰ καὶ Θοαδά.
1Ch 4:6	καὶ ἔτεκεν αὐτῷ Ἁωδὰ τὸν Ὠχαιὰ καὶ τὸν Ἡφὰλ καὶ τὸν Θαιμὰν καὶ τὸν Ἀσηράν· πάντες οὗτοι υἱοὶ Ἁώδας.
1Ch 4:7	καὶ υἱοὶ Λοάδας· Ἄρεθ καὶ Σάαρ καὶ Σεννών.
1Ch 4:8	καὶ Κῶε ἐγέννησεν τὸν Ἐννὼν καὶ τὸν Σαβαθά, καὶ γεννήσεις ἀδελφοῦ Ῥηχὰβ υἱοῦ Ἱαρείμ.
1Ch 4:9	Καὶ ἦν Ἰγαβὴς ἔνδοξος ὑπὲρ τοὺς ἀδελφοὺς αὐτοῦ· καὶ ἡ μήτηρ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰγαβὴς λέγουσα Ἔτεκον ὡς γάβης.
1Ch 4:10	καὶ ἐπεκαλέσατο Ἰγαβὴς τὸν θεὸν Ἰσραὴλ λέγων Ἐὰν εὐλογῶν εὐλογήσῃς με, καὶ πληθύνῃς τὰ ὅριά μου, καὶ ἦν ἡ χείρ σου μετ᾽ ἐμοῦ, καὶ ποιήσῃς γνῶσιν τοῦ μὴ ταπεινῶσαί με. καὶ ἐπήγαγεν ὁ θεὸς πάντα ὅσα ᾐτήσατο.
1Ch 4:11	Καὶ Χαλὲβ πατὴρ Ἀσχὰ ἐγέννησεν τὸν Μαχείρ· οὗτος πατὴρ Ἀσσαθών.
1Ch 4:12	ἐγέννησεν τὸν Βαθραίαν καὶ τὸν Βεσσῆε καὶ τὸν Θαιμάν, πατέρα πόλεως Ναὰς ἀδελφοῦ Ἐσελὼν τοῦ Χενεζεί· οὗτοι ἄνδρες Ῥηχάβ.
1Ch 4:13	καὶ υἱοὶ Κενέζ· Γοθονιὴλ καὶ Σαραιά. καὶ υἱοὶ Γοθονιήλ· Ἁθάθ.
1Ch 4:14	καὶ Μαναθεὶ ἐγέννησεν τὸν Γοφερά. καὶ Σαραιὰ ἐγέννησεν τὸν Ἰωβὰβ πατέρα Ἀγεαδδαείρ, ὅτι τέκτονες ἦσαν.
1Ch 4:15	καὶ υἱοὶ Χαλὲβ υἱοῦ Ἰεφοννή· Ἤρ, Ἀδαὶ καὶ Νόομ. καὶ υἱοὶ Ἀδά· Κενέζ.
1Ch 4:16	καὶ υἱὸς αὐτοῦ Γεσεὴλ, Ἀμηαχεὶ καὶ Ζαφὰ καὶ Ζαιρὰ καὶ Ἰσεραήλ.
1Ch 4:17	καὶ υἱοὶ Ἐσρεί· Ἰεθερεί, Πῶραδ καὶ Ἄφερ καὶ Ἀμών. καὶ ἐγέννησεν Ἰέθερ τὸν Μαιὼν καὶ τὸν Σεμὲν καὶ τὸν Μαρὲθ πατέρα Ἐσθαιμών.
1Ch 4:18	καὶ ἡ γυνὴ αὐτοῦ, αὕτη Ἁδειά, ἔτεκεν τὸν Ἰάρεδ πατέρα Γεδὼρ καὶ τὸν Ἁβεισὰ πατέρα Σωχὼν καὶ τὸν Χετιὴλ πατέρα Ζαμών· καὶ οὗτοι υἱοὶ Γελιὰ θυγατρὸς Φαραὼ ἣν ἔλαβεν Νωρωήλ.
1Ch 4:19	καὶ υἱοὶ γυναικὸς τῆς Ἱδουίας ἀδελφῆς Νάχεθ καὶ Δαλειλὰ πατὴρ Κεειλά, καὶ Σεμεγὼν πατὴρ Ἰωμάν, καὶ Μαναὴμ πατρὸς Κεειλὰ Ἁταμεὶ καὶ Ἐσθαιμωνὴ Νωχαθεί.
1Ch 4:20	καὶ υἱοὶ Σεμιών· Ἀμνὼν καὶ Ἀνὰ υἱὸς Φανὰ καὶ Ἰνών. καὶ υἱοὶ Σεεὶ· Ζωάν. καὶ υἱοὶ Ζωάβ,
1Ch 4:21	υἱοὶ Σηλὼμ υἱοῦ Ἰούδα, Ἢρ πατὴρ Ληχά, καὶ Μαδὰθ πατὴρ Μαιχά· καὶ γενέσεις οἰκιῶν ἐφρὰθ ἁβὰκ τῷ οἴκῳ Ἐσοβά·
1Ch 4:22	καὶ Ἰωακεὶμ καὶ ἄνδρες Σωχηθὰ Ἰωαδὰ καὶ Σαιά, οἳ κατῴκησαν ἐν Μωάβ· καὶ ἀπέστρεψεν αὐτοὺς ἁβεδηρεὶν ἀθουκιείν.
