Lev 1:1	ΚΑΙ ἀνεκάλεσεν Μωυσῆν καὶ ἐλάλησεν Κύριος αὐτῷ ἐκ τῆς σκηνῆς τοῦ μαρτυρίου λέγων
Lev 2:13	καὶ πᾶν δῶρον θυσίας ὑμῶν ἁλὶ ἁλισθήσεται· οὐ διαπαύσετε ἅλα διαθήκης Κυρίου ἀπὸ θυσιασμάτων ὑμῶν· ἐπὶ παντὸς δώρου ὑμῶν προσοίσετε Κυρίῳ τῷ θεῷ ὑμῶν ἅλας.
Lev 2:14	Ἐὰν δὲ προσφέρῃς θυσίαν πρωτογενημάτων τῷ κυρίῳ, ἁπαλόν, νέα πεφρυγμένα χίδρα ἐρικτὰ τῷ κυρίῳ· καὶ προσοίσεις τὴν θυσίαν τῶν πρωτογενημάτων·
Lev 2:15	καὶ ἐπιχεεῖς ἐπ᾽ αὐτὴν ἔλαιον, καὶ ἐπιθήσεις ἐπ᾽ αὐτὴν λίβανον· θυσία ἐστίν.
Lev 2:16	καὶ ἀνοίσει ὁ ἱερεὺς τὸ μνημόσυνον αὐτῆς ἀπὸ τῶν χίδρων σὺν τῷ ἐλαίῳ καὶ πάντα τὸν λίβανον αὐτῆς· κάρπωμά ἐστιν Κυρίῳ.
Lev 3:1	Ἐὰν δὲ θυσίαν σωτηρίου τὸ δῶρον αὐτοῦ τῷ κυρίῳ, ἐὰν μὲν ἐκ τῶν βοῶν αὐτοῦ προσαγάγῃ, ἐάν τε ἄρσεν ἐάν τε θῆλυ, ἄμωμον προσάξει αὐτὸ ἐναντίον Κυρίου·
Lev 3:2	καὶ ἐπιθήσει τὰς χεῖρας ἐπὶ τὴν κεφαλὴν τοῦ δώρου, καὶ σφάξει αὐτὸ ἐναντίον Κυρίου παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου· καὶ προσχεοῦσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς τὸ αἷμα ἐπὶ τὸ θυσιαστήριον τῶν ὁλοκαυτωμάτων κύκλῳ.
Lev 3:3	καὶ προσάξουσιν ἀπὸ τῆς θυσίας τοῦ σωτηρίου κάρπωμα Κυρίῳ, τὸ στέαρ τὸ κατακαλύπτον τὴν κοιλίαν καὶ πᾶν τὸ στέαρ τὸ ἐπὶ τῆς κοιλίας,
Lev 3:4	καὶ τοὺς δύο νεφρούς καὶ τὸ στέαρ τὸ ἐπ᾽ αὐτῶν, τὸ ἐπὶ τῶν μηρίων, καὶ τὸν λοβὸν τὸν ἐπὶ τοῦ ἥπατος σὺν τοῖς νεφροῖς περιελεῖ.
Lev 3:5	καὶ ἀνοίσουσιν αὐτὰ οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς ἐπὶ τὸ θυσιαστήριον, ἐπὶ τὰ ὁλοκαυτώματα ἐπὶ τὰ ξύλα τὰ ἐπὶ τοῦ πυρὸς ἐπὶ τοῦ θυσιαστηρίου· κάρπωμα, ὀσμὴ εὐωδίας Κυρίῳ.
Lev 3:6	Ἐὰν δὲ ἀπὸ τῶν προβάτων τὸ δῶρον αὐτοῦ, θυσίαν σωτηρίου τῷ κυρίῳ, ἄρσεν ἢ θῆλυ, ἄμωμον προσοίσει αὐτό.
Lev 3:7	ἐὰν ἄρνα προσαγάγῃ τὸ δῶρον αὐτοῦ, προσάξει αὐτὸ ἔναντι Κυρίου·
Lev 3:8	καὶ ἐπιθήσει τὰς χεῖρας ἐπὶ τὴν κεφαλὴν τοῦ δώρου αὐτοῦ, καὶ σφάξει αὐτὸ παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου· καὶ προσχεοῦσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς τὸ αἷμα ἐπὶ τὸ θυσιαστήριον κύκλῳ·
Lev 3:9	καὶ προσοίσει ἀπὸ τῆς θυσίας τοῦ σωτηρίου κάρπωμα τῷ θεῷ, τὸ στέαρ καὶ τὴν ὀσφὺν ἄμωμον· σὺν ταῖς ψόαις περιελεῖ αὐτό· καὶ τὸ στέαρ τῆς κοιλίας,
Lev 3:10	καὶ ἀμφοτέρους τοὺς νεφροὺς καὶ τὸ στέαρ τὸ ἐπ᾽ αὐτῶν τὸ ἐπὶ τῶν μηρίων, καὶ τὸν λοβὸν τὸν ἐπὶ τοῦ ἥπατος σὺν τοῖς νεφροῖς περιελὼν
Lev 3:11	ἀνοίσει ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον· ὀσμὴ εὐωδίας, κάρπωμα Κυρίῳ.
Lev 3:12	Ἐὰν δὲ ἀπὸ τῶν αἰγῶν τὸ δῶρον αὐτοῦ, καὶ προσάξει ἔναντι Κυρίου·
Lev 3:13	καὶ ἐπιθήσει τὰς χεῖρας ἐπὶ τὴν κεφαλὴν αὐτοῦ, καὶ σφάξουσιν αὐτὸ ἔναντι Κυρίου παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου· καὶ προσχεοῦσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς τὸ αἷμα ἐπὶ τὸ θυσιαστήριον κύκλῳ.
Lev 3:14	καὶ ἀνοίσει ἐπ᾽ αὐτοῦ κάρπωμα Κυρίῳ τὸ στέαρ τὸ κατακαλύπτον τὴν κοιλίαν καὶ πᾶν τὸ στέαρ τὸ ἐπὶ τῆς κοιλίας,
Lev 3:15	καὶ ἀμφοτέρους τοὺς νεφροὺς καὶ πᾶν τὸ στέαρ τὸ ἐπ᾽ αὐτῶν τὸ ἐπὶ τῶν μηρίων, καὶ τὸν λοβὸν τοῦ ἥπατος σὺν τοῖς νεφροῖς περιελεῖ·
Lev 3:16	καὶ ἀνοίσει ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον· κάρπωμα, ὀσμὴ εὐωδίας τῷ κυρίῳ. πᾶν τὸ στέαρ τῷ κυρίῳ.
Lev 3:17	νόμιμον εἰς τὸν αἰῶνα εἰς τὰς γενεὰς ὑμῶν ἐν πάσῃ κατοικίᾳ ὑμῶν· πᾶν στέαρ καὶ πᾶν αἷμα οὐκ ἔδεσθε.
Lev 4:1	Καὶ ἐλάλησεν Κύριος πρὸς Μωυσῆν λέγων
Lev 4:2	Λάλησον πρὸς τοὺς υἱοὺς Ἰσραὴλ λέγων Ψυχὴ ἐὰν ἁμάρτῃ ἔναντι Κυρίου ἀκουσίως ἀπὸ τῶν προσταγμάτων Κυρίου ὧν οὐ δεῖ ποιεῖν, καὶ ποιήσῃ ἕν τι ἀπ᾽ αὐτῶν·
Lev 4:3	ἐὰν μὲν ὁ ἀρχιερεὺς ὁ κεχρισμένος ἁμάρτῃ τοῦ λαὸν ἁμαρτεῖν, καὶ προσάξει περὶ τῆς ἁμαρτίας αὐτοῦ ἧς ἥμαρτεν μόσχον ἐκ βοῶν ἄμωμον τῷ κυρίῳ περὶ τῆς ἁμαρτίας αὐτοῦ.
Lev 4:4	καὶ προσάξει τὸν μόσχον παρὰ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου ἔναντι Κυρίου, καὶ ἐπιθήσει τὴν χεῖρα αὐτοῦ ἐπὶ τὴν κεφαλὴν τοῦ μόσχου ἔναντι Κυρίου, καὶ σφάξει τὸν μόσχον ἐνώπιον Κυρίου.
Lev 4:5	καὶ λαβὼν ὁ ἱερεὺς ὁ χριστὸς ὁ τετελειωμένος τὰς χεῖρας ἀπὸ τοῦ αἵματος τοῦ μόσχου, καὶ εἰσοίσει αὐτὸ ἐπὶ τὴν σκηνὴν τοῦ μαρτυρίου·
Lev 4:6	καὶ βάψει ὁ ἱερεὺς τὸν δάκτυλον εἰς τὸ αἷμα, καὶ προσρανεῖ ἀπὸ τοῦ αἵματος ἑπτάκις ἔναντι Κυρίου κατὰ τὸ καταπέτασμα τὸ ἅγιον·
Lev 4:7	καὶ ἐπιθήσει ὁ ἱερεὺς ἀπὸ τοῦ αἵματος τοῦ μόσχου ἐπὶ τὰ κέρατα τοῦ θυσιαστηρίου τοῦ θυμιάματος τῆς συνθέσεως τοῦ ἐναντίον Κυρίου, ὅ ἐστιν ἐν τῇ σκηνῇ τοῦ μαρτυρίου· καὶ πᾶν τὸ αἷμα τοῦ μόσχου ἐκχεεῖ παρὰ τὴν βάσιν τοῦ θυσιαστηρίου τῶν ὁλοκαυτωμάτων, ὅ ἐστιν παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου.
Lev 4:8	καὶ πᾶν τὸ στέαρ τοῦ μόσχου τοῦ τῆς ἁμαρτίας περιελεῖ ἀπ᾽ αὐτοῦ, τὸ στέαρ τὸ κατακαλύπτον τὰ ἐνδόσθια καὶ πᾶν τὸ στέαρ τὸ ἐπὶ τῶν ἐνδοσθίων,
Lev 4:9	καὶ τοὺς δύο νεφροὺς καὶ τὸ στέαρ τὸ ἐπ᾽ αὐτῶν, ὅ ἐστιν ἐπὶ τῶν μηρίων, καὶ τὸν λοβὸν τὸν ἐπὶ τοῦ ἥπατος σὺν τοῖς νεφροῖς, περιελεῖ αὐτό,
Lev 4:10	ὃν τρόπον ἀφαιρεῖτε αὐτὸ ἀπὸ τοῦ μόσχου τοῦ τῆς θυσίας τοῦ σωτηρίου· διανοίσει ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον τῆς καρπώσεως.
Lev 4:11	καὶ τὸ δέρμα τοῦ μόσχου καὶ πᾶσαν αὐτοῦ τὴν σάρκα σὺν τῇ κεφαλῇ καὶ τοῖς ἀκρωτηρίοις καὶ τῇ κοιλίᾳ καὶ τῇ κόπρῳ,
Lev 4:12	καὶ ἐξοίσουσιν ὅλον τὸν μόσχον ἔξω τῆς παρεμβολῆς εἰς τόπον καθαρὸν οὗ ἐκχεοῦσιν τὴν σποδιάν, καὶ κατακαύσουσιν αὐτὸν ἐπὶ ξύλων ἐν πυρί· ἐπὶ τῆς ἐκχύσεως τῆς σποδιᾶς καυθήσεται.
Lev 4:13	Ἐὰν δὲ πᾶσα συναγωγὴ Ἰσραὴλ ἀγνοήσῃ ἀκουσίως, καὶ λάθῃ ῥῆμα ἐξ ὀφθαλμῶν τῆς συναγωγῆς, καὶ ποιήσωσιν μίαν ἀπὸ πασῶν τῶν ἐντολῶν Κυρίου ἣ οὐ ποιηθήσεται καὶ πλημμελήσουσιν,
Lev 4:14	καὶ γνωσθῇ αὐτοῖς ἡ ἁμαρτία ἣν ἥμαρτον ἐν αὐτῇ, καὶ προσάξει ἡ συναγωγὴ μόσχον ἐκ βοῶν ἄμωμον περὶ τῆς ἁμαρτίας, καὶ προσάξει αὐτὸν παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου.
Lev 4:15	καὶ ἐπιθήσουσιν οἱ πρεσβύτεροι τῆς συναγωγῆς τὰς χεῖρας αὐτῶν ἐπὶ τὴν κεφαλὴν τοῦ μόσχου ἔναντι Κυρίου, καὶ σφάξουσιν τὸν μόσχον ἔναντι Κυρίου·
Lev 4:16	καὶ εἰσοίσει ὁ ἱερεὺς ὁ χριστὸς ἀπὸ τοῦ αἵματος τοῦ μόσχου εἰς τὴν σκηνὴν τοῦ μαρτυρίου·
Lev 4:17	καὶ βάψει ὁ ἱερεὺς τὸν δάκτυλον ἀπὸ τοῦ αἵματος τοῦ μόσχου, καὶ ῥανεῖ ἑπτάκις ἔναντι Κυρίου κατενώπιον τοῦ καταπετάσματος τοῦ ἁγίου·
Lev 4:18	καὶ ἀπὸ τοῦ αἵματος ἐπιθήσει ὁ ἱερεὺς ἐπὶ τὰ κέρατα τοῦ θυσιαστηρίου τῶν θυμιαμάτων τῆς συνθέσεως, ὅ ἐστιν ἐνώπιον Κυρίου, ὅ ἐστιν ἐν τῇ σκηνῇ τοῦ μαρτυρίου· καὶ τὸ πᾶν αἷμα ἐκχεεῖ πρὸς τὴν βάσιν τοῦ θυσιαστηρίου τῶν καρπώσεων τῶν πρὸς τῇ θύρᾳ τῆς σκηνῆς τοῦ μαρτυρίου.
Lev 4:19	καὶ τὸ πᾶν στέαρ περιελεῖ ἀπ᾽ αὐτοῦ καὶ ἀνοίσει ἐπὶ τὸ θυσιαστήριον·
Lev 4:20	καὶ ποιήσει τὸν μόσχον ὃν τρόπον ἐποίησεν τὸν μόσχον τὸν τῆς ἁμαρτίας, οὕτως ποιηθήσεται· καὶ ἐξιλάσεται περὶ αὐτῶν ὁ ἱερεύς, καὶ ἀφεθήσεται αὐτοῖς ἡ ἁμαρτία.
Lev 4:21	καὶ ἐξοίσουσιν τὸν μόσχον ἔξω τῆς παρεμβολῆς, καὶ κατακαύσουσιν τὸν μόσχον ὃν τρόπον κατέκαυσαν τὸν μόσχον τὸν πρότερον· ἁμαρτία συναγωγῆς ἐστίν.
Lev 4:22	Ἐὰν δὲ ὁ ἄρχων ἁμάρτῃ καὶ ποιήσῃ μίαν ἀπὸ πασῶν τῶν ἐντολῶν Κυρίου τοῦ θεοῦ αὐτῶν ἣ οὐ ποιηθήσεται, ἀκουσίως, καὶ ἁμάρτῃ, καὶ πλημμελήσῃ,
Lev 4:23	καὶ γνωσθῇ αὐτῷ ἡ ἁμαρτία ἣν ἥμαρτεν ἐν αὐτῇ, καὶ προσοίσει τὸ δῶρον αὐτοῦ χίμαρον ἐξ αἰγῶν, ἄρσεν ἄμωμον.
Lev 4:24	καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν τοῦ χιμάρου, καὶ σφάξουσιν αὐτὸν ἐν τόπῳ οὗ σφάζουσιν τὰ ὁλοκαυτώματα ἐνώπιον Κυρίου· ἁμαρτία ἐστίν.
Lev 4:25	καὶ ἐπιθήσει ὁ ἱερεὺς ἀπὸ τοῦ αἵματος τοῦ τῆς ἁμαρτίας τῷ δακτύλῳ ἐπὶ τὰ κέρατα τοῦ θυσιαστηρίου τῶν ὁλοκαυτωμάτων, καὶ τὸ πᾶν αἷμα αὐτοῦ ἐκχεεῖ παρὰ τὴν βάσιν τοῦ θυσιαστηρίου τῶν ὁλοκαυτωμάτων.
Lev 4:26	καὶ τὸ πᾶν στέαρ αὐτοῦ ἀνοίσει ἐπὶ τὸ θυσιαστήριον, ὥσπερ τὸ στέαρ θυσίας σωτηρίου· καὶ ἐξιλάσεται περὶ αὐτοῦ ὁ ἱερεὺς ἀπὸ τῆς ἁμαρτίας αὐτοῦ, καὶ ἀφεθήσεται αὐτῷ.
Lev 4:27	Ἐὰν δὲ ψυχὴ μία ἁμάρτῃ ἀκουσίως ἐκ τοῦ λαοῦ τῆς γῆς ἐν τῷ ποιῆσαι μίαν ἀπὸ πασῶν τῶν ἐντολῶν Κυρίου ἣ οὐ ποιηθήσεται, καὶ πλημμελήσῃ,
Lev 4:28	καὶ γνωσθῇ αὐτῷ ἡ ἁμαρτία ἣν ἥμαρτεν ἐν αὐτῇ, καὶ οἴσει χίμαιραν ἐξ αἰγῶν· θήλειαν ἄμωμον οἴσει περὶ τῆς ἁμαρτίας ἧς ἥμαρτεν.
Lev 4:29	καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν τοῦ ἁμαρτήματος αὐτοῦ, καὶ σφάξουσιν τὴν χίμαιραν τὴν τῆς ἁμαρτίας ἐν τόπῳ οὗ σφάζουσιν τὰ ὁλοκαυτώματα.
Lev 4:30	καὶ λήμψεται ὁ ἱερεὺς ἀπὸ τοῦ αἵματος αὐτῆς τῷ δακτύλῳ καὶ ἐπιθήσει ἐπὶ τὰ κέρατα τοῦ θυσιαστηρίου τῶν ὁλοκαυτωμάτων, καὶ πᾶν τὸ αἷμα αὐτῆς ἐκχεεῖ παρὰ τὴν βάσιν τοῦ θυσιαστηρίου.
Lev 4:31	καὶ πᾶν τὸ στέαρ περιελεῖ ὃν τρόπον περιαιρεῖται στέαρ ἀπὸ θυσίας σωτηρίου, καὶ ἀνοίσει ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον εἰς ὀσμὴν εὐωδίας Κυρίῳ· καὶ ἐξιλάσεται περὶ αὐτοῦ ὁ ἱερεύς, καὶ ἀφεθήσεται αὐτῷ.
Lev 4:32	Ἐὰν δὲ πρόβατον προσενέγκῃ τὸ δῶρον αὐτοῦ εἰς ἁμαρτίαν, θῆλυ ἄμωμον προσοίσει αὐτό.
Lev 4:33	καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν αὐτοῦ τοῦ τῆς ἁμαρτίας, καὶ σφάξουσιν αὐτὸ ἐν τόπῳ οὗ σφάζουσιν τὰ ὁλοκαυτώματα.
Lev 4:34	καὶ λαβὼν ὁ ἱερεὺς ἀπὸ τοῦ αἵματος τοῦ τῆς ἁμαρτίας τῷ δακτύλῳ ἐπιθήσει ἐπὶ τὰ κέρατα τοῦ θυσιαστηρίου τῆς ὁλοκαυτώσεως, καὶ πᾶν αὐτοῦ τὸ αἷμα ἐκχεεῖ παρὰ τὴν βάσιν τοῦ θυσιαστηρίου τῆς ὁλοκαυτώσεως.
Lev 4:35	καὶ πᾶν αὐτοῦ τὸ στέαρ περιελεῖ ὃν τρόπον περιαιρεῖται στέαρ προβάτου ἐκ τῆς θυσίας τοῦ σωτηρίου, καὶ ἐπιθήσει αὐτὸ ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον ἐπὶ τὸ ὁλοκαύτωμα Κυρίου· καὶ ἐξιλάσεται περὶ αὐτοῦ ὁ ἱερεὺς περὶ τῆς ἁμαρτίας ἧς ἥμαρτεν, καὶ ἀφεθήσεται αὐτῷ.
Lev 5:1	Ἐὰν δὲ ψυχὴ ἁμάρτῃ καὶ ἀκούσῃ φωνὴν ὁρκισμοῦ, καὶ οὗτος μάρτυς ἢ ἑώρακεν ἢ σύνοιδεν, ἐὰν μὴ ἀπαγγείλῃ, λήμψεται τὴν ἁμαρτίαν.
Lev 5:2	ἢ ψυχὴ ἥτις ἐὰν ἅψηται παντὸς πράγματος ἀκαθάρτου, ἢ θνησιμαίου ἢ θηριαλώτου ἀκαθάρτου ἢ τῶν θνησιμαίων ἢ τῶν βδελυγμάτων τῶν ἀκαθάρτων ἢ τῶν θνησιμαίων κτηνῶν τῶν ἀκαθάρτων,
Lev 5:3	ἢ ἅψηται ἀπὸ ἀκαθαρσίας ἀνθρώπου, ἀπὸ πάσης ἀκαθαρσίας αὐτοῦ ἧς ἂν ἁψάμενος μιανθῇ, καὶ ἔλαθεν αὐτόν, μετὰ τοῦτο δὲ γνῷ, καὶ πλημμελήσῃ·
Lev 5:4	ἢ ψυχὴ ἡ ἄνομος ἡ διαστέλλουσα τοῖς χείλεσιν κακοποιῆσαι ἢ καλῶς ποιῆσαι κατὰ πάντα ὅσα ἐὰν διαστείλῃ ὁ ἄνθρωπος μεθ᾽ ὅρκου, καὶ λάθῃ αὐτὸν πρὸ ὀφθαλμῶν, καὶ οὗτος γνῷ, καὶ ἁμάρτῃ ἕν τι τούτων.
Lev 5:5	καὶ ἐξαγορεύσει τὴν ἁμαρτίαν περὶ ὧν ἡμάρτηκεν κατ᾽ αὐτῆς,
