# NIV84 1 Chronicles — converted from PDF (AGES Digital Library transcription of the New International Version, 1984 edition); source PDF pages 926-1002
1:1	Adam, Seth, Enosh,
1:41	The son of Anah: Dishon. The sons of Dishon: Hemdan, [Many Hebrew manuscripts and some Septuagint manuscripts (see also Gen. 36:26); most Hebrew manuscripts Hamran] Eshban, Ithran and Keran.
1:42	The sons of Ezer: Bilhan, Zaavan and Akan. [Many Hebrew and Septuagint manuscripts (see also Gen. 36:27); most Hebrew manuscripts Zaavan, Jaakan] The sons of Dishan: [Hebrew Dishon, a variant of Dishan] Uz and Aran.
1:43	These were the kings who reigned in Edom before any Israelite king reigned: [Or before an Israelite king reigned over them] Bela son of Beor, whose city was named Dinhabah.
1:44	When Bela died, Jobab son of Zerah from Bozrah succeeded him as king.
1:45	When Jobab died, Husham from the land of the Temanites succeeded him as king.
1:46	When Husham died, Hadad son of Bedad, who defeated Midian in the country of Moab, succeeded him as king. His city was named Avith.
1:47	When Hadad died, Samlah from Masrekah succeeded him as king.
1:48	When Samlah died, Shaul from Rehoboth on the river [Possibly the Euphrates] succeeded him as king.
1:49	When Shaul died, Baal-Hanan son of Acbor succeeded him as king.
1:50	When Baal-Hanan died, Hadad succeeded him as king. His city was named Pau, [Many Hebrew manuscripts, some Septuagint manuscripts, Vulgate and Syriac (see also Gen. 36:39); most Hebrew manuscripts Pai] and his wife’s name was Mehetabel daughter of Matred, the daughter of Me-Zahab.
1:51	Hadad also died. The chiefs of Edom were: Timna, Alvah, Jetheth,
1:52	Oholibamah, Elah, Pinon,
1:53	Kenaz, Teman, Mibzar,
1:54	Magdiel and Iram. These were the chiefs of Edom.
2:1	These were the sons of Israel: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,
2:2	Dan, Joseph, Benjamin, Naphtali, Gad and Asher.
2:3	The sons of Judah: Er, Onan and Shelah. These three were born to him by a Canaanite woman, the daughter of Shua. Er, Judah’s firstborn, was wicked in the LORD’s sight; so the LORD put him to death.
2:4	Tamar, Judah’s daughter-in-law, bore him Perez and Zerah. Judah had five sons in all.
2:5	The sons of Perez: Hezron and Hamul.
2:6	The sons of Zerah: Zimri, Ethan, Heman, Calcol and Darda — [Many Hebrew manuscripts, some Septuagint manuscripts and Syriac (see also 1 Kings 4:31); most Hebrew manuscripts Dara] five in all.
2:7	The son of Carmi: Achar, [Achar means trouble; Achar is called Achan in Joshua.] who brought trouble on Israel by violating the ban on taking devoted things. [The Hebrew term refers to the irrevocable giving over of things or persons to the LORD, often by totally destroying them.]
2:8	The son of Ethan: Azariah.
2:9	The sons born to Hezron were: Jerahmeel, Ram and Caleb. [Hebrew Kelubai, a variant of Caleb]
2:10	Ram was the father of Amminadab, and Amminadab the father of Nahshon, the leader of the people of Judah.
2:11	Nahshon was the father of Salmon, [Septuagint (see also Ruth 4:21); Hebrew Salma] Salmon the father of Boaz,
2:12	Boaz the father of Obed and Obed the father of Jesse.
2:13	Jesse was the father of Eliab his firstborn; the second son was Abinadab, the third Shimea,
2:14	the fourth Nethanel, the fifth Raddai,
2:15	the sixth Ozem and the seventh David.
2:16	Their sisters were Zeruiah and Abigail. Zeruiah’s three sons were Abishai, Joab and Asahel.
2:17	Abigail was the mother of Amasa, whose father was Jether the Ishmaelite.
2:18	Caleb son of Hezron had children by his wife Azubah (and by Jerioth). These were her sons: Jesher, Shobab and Ardon.
2:19	When Azubah died, Caleb married Ephrath, who bore him Hur.
2:20	Hur was the father of Uri, and Uri the father of Bezalel.
2:21	Later, Hezron lay with the daughter of Makir the father of Gilead (he had married her when he was sixty years old), and she bore him Segub.
2:22	Segub was the father of Jair, who controlled twenty-three towns in Gilead.
2:23	(But Geshur and Aram captured Havvoth Jair, [Or captured the settlements of Jair] as well as Kenath with its surrounding settlements — sixty towns.) All these were descendants of Makir the father of Gilead.
2:24	After Hezron died in Caleb Ephrathah, Abijah the wife of Hezron bore him Ashhur the father [Father may mean civic leader or military leader; also in verses 42, 45, 49-52 and possibly elsewhere.] of Tekoa.
2:25	The sons of Jerahmeel the firstborn of Hezron: Ram his firstborn, Bunah, Oren, Ozem and [Or Oren and Ozem, by] Ahijah.
2:26	Jerahmeel had another wife, whose name was Atarah; she was the mother of Onam.
2:27	The sons of Ram the firstborn of Jerahmeel: Maaz, Jamin and Eker.
2:28	The sons of Onam: Shammai and Jada. The sons of Shammai: Nadab and Abishur.
2:29	Abishur’s wife was named Abihail, who bore him Ahban and Molid.
2:30	The sons of Nadab: Seled and Appaim. Seled died without children.
2:31	The son of Appaim: Ishi, who was the father of Sheshan. Sheshan was the father of Ahlai.
2:32	The sons of Jada, Shammai’s brother: Jether and Jonathan. Jether died without children.
2:33	The sons of Jonathan: Peleth and Zaza. These were the descendants of Jerahmeel.
2:34	Sheshan had no sons — only daughters. He had an Egyptian servant named Jarha.
2:35	Sheshan gave his daughter in marriage to his servant Jarha, and she bore him Attai.
2:36	Attai was the father of Nathan, Nathan the father of Zabad,
2:37	Zabad the father of Ephlal, Ephlal the father of Obed,
2:38	Obed the father of Jehu, Jehu the father of Azariah,
2:39	Azariah the father of Helez, Helez the father of Eleasah,
2:40	Eleasah the father of Sismai, Sismai the father of Shallum,
2:41	Shallum the father of Jekamiah, and Jekamiah the father of Elishama.
2:42	The sons of Caleb the brother of Jerahmeel: Mesha his firstborn, who was the father of Ziph, and his son Mareshah, [The meaning of the Hebrew for this phrase is uncertain.] who was the father of Hebron.
2:43	The sons of Hebron: Korah, Tappuah, Rekem and Shema.
2:44	Shema was the father of Raham, and Raham the father of Jorkeam. Rekem was the father of Shammai.
2:45	The son of Shammai was Maon, and Maon was the father of Beth Zur.
2:46	Caleb’s concubine Ephah was the mother of Haran, Moza and Gazez. Haran was the father of Gazez.
2:47	The sons of Jahdai: Regem, Jotham, Geshan, Pelet, Ephah and Shaaph.
2:48	Caleb’s concubine Maacah was the mother of Sheber and Tirhanah.
2:49	She also gave birth to Shaaph the father of Madmannah and to Sheva the father of Macbenah and Gibea. Caleb’s daughter was Acsah.
2:50	These were the descendants of Caleb. The sons of Hur the firstborn of Ephrathah: Shobal the father of Kiriath Jearim,
2:51	Salma the father of Bethlehem, and Hareph the father of Beth Gader.
2:52	The descendants of Shobal the father of Kiriath Jearim were: Haroeh, half the Manahathites,
2:53	and the clans of Kiriath Jearim: the Ithrites, Puthites, Shumathites and Mishraites. From these descended the Zorathites and Eshtaolites.
2:54	The descendants of Salma: Bethlehem, the Netophathites, Atroth Beth Joab, half the Manahathites, the Zorites,
2:55	and the clans of scribes [Or of the Sopherites] who lived at Jabez: the Tirathites, Shimeathites and Sucathites. These are the Kenites who came from Hammath, the father of the house of Recab. [Or father of Beth Recab]
3:1	These were the sons of David born to him in Hebron: The firstborn was Amnon the son of Ahinoam of Jezreel; the second, Daniel the son of Abigail of Carmel;
3:2	the third, Absalom the son of Maacah daughter of Talmai king of Geshur; the fourth, Adonijah the son of Haggith;
3:3	the fifth, Shephatiah the son of Abital; and the sixth, Ithream, by his wife Eglah.
3:4	These six were born to David in Hebron, where he reigned for seven years and six months. David reigned in Jerusalem for thirty-three years,
3:5	and these were the children born to him there: Shammua, [Hebrew Shimea, a variant of Shammua] Shobab, Nathan and Solomon. These four were by Bathsheba [One Hebrew manuscript and Vulgate (see also Septuagint and 2 Sam. 11:3); most Hebrew manuscripts Bathshua] daughter of Ammiel.
3:6	There were also Ibhar, Elishua, [Two Hebrew manuscripts (see also 2 Sam. 5:15 and 1 Chron. 14:5); most Hebrew manuscripts Elishama] Eliphelet,
3:7	Nogah, Nepheg, Japhia,
3:8	Elishama, Eliada and Eliphelet — nine in all.
3:9	All these were the sons of David, besides his sons by his concubines. And Tamar was their sister.
3:10	Solomon’s son was Rehoboam, Abijah his son, Asa his son, Jehoshaphat his son,
3:11	Jehoram [Hebrew Joram, a variant of Jehoram] his son, Ahaziah his son, Joash his son,
3:12	Amaziah his son, Azariah his son, Jotham his son,
3:13	Ahaz his son, Hezekiah his son, Manasseh his son,
3:14	Amon his son, Josiah his son.
3:15	The sons of Josiah: Johanan the firstborn, Jehoiakim the second son, Zedekiah the third, Shallum the fourth.
3:16	The successors of Jehoiakim: Jehoiachin [Hebrew Jeconiah, a variant of Jehoiachin; also in verse 17] his son, and Zedekiah.
3:17	The descendants of Jehoiachin the captive: Shealtiel his son,
3:18	Malkiram, Pedaiah, Shenazzar, Jekamiah, Hoshama and Nedabiah.
3:19	The sons of Pedaiah: Zerubbabel and Shimei. The sons of Zerubbabel: Meshullam and Hananiah. Shelomith was their sister.
3:20	There were also five others: Hashubah, Ohel, Berekiah, Hasadiah and Jushab-Hesed.
3:21	The descendants of Hananiah: Pelatiah and Jeshaiah, and the sons of Rephaiah, of Arnan, of Obadiah and of Shecaniah.
3:22	The descendants of Shecaniah: Shemaiah and his sons: Hattush, Igal, Bariah, Neariah and Shaphat — six in all.
3:23	The sons of Neariah: Elioenai, Hizkiah and Azrikam — three in all.
3:24	The sons of Elioenai: Hodaviah, Eliashib, Pelaiah, Akkub, Johanan, Delaiah and Anani — seven in all.
4:1	The descendants of Judah: Perez, Hezron, Carmi, Hur and Shobal.
4:2	Reaiah son of Shobal was the father of Jahath, and Jahath the father of Ahumai and Lahad. These were the clans of the Zorathites.
4:3	These were the sons [Some Septuagint manuscripts (see also Vulgate); Hebrew father] of Etam: Jezreel, Ishma and Idbash. Their sister was named Hazzelelponi.
4:4	Penuel was the father of Gedor, and Ezer the father of Hushah. These were the descendants of Hur, the firstborn of Ephrathah and father [Father may mean civic leader or military leader; also in verses 12, 14, 17, 18 and possibly elsewhere.] of Bethlehem.
4:5	Ashhur the father of Tekoa had two wives, Helah and Naarah.
4:6	Naarah bore him Ahuzzam, Hepher, Temeni and Haahashtari. These were the descendants of Naarah.
4:7	The sons of Helah: Zereth, Zohar, Ethnan,
4:8	and Koz, who was the father of Anub and Hazzobebah and of the clans of Aharhel son of Harum.
4:9	Jabez was more honourable than his brothers. His mother had named him Jabez, [Jabez sounds like the Hebrew for pain.] saying, “I gave birth to him in pain.”
4:10	Jabez cried out to the God of Israel, “Oh, that you would bless me and enlarge my territory! Let your hand be with me, and keep me from harm so that I will be free from pain.” And God granted his request.
4:11	Kelub, Shuhah’s brother, was the father of Mehir, who was the father of Eshton.
4:12	Eshton was the father of Beth Rapha, Paseah and Tehinnah the father of Ir Nahash. [Or of the city of Nahash] These were the men of Recah.
4:13	The sons of Kenaz: Othniel and Seraiah. The sons of Othniel: Hathath and Meonothai. [Some Septuagint manuscripts and Vulgate; Hebrew does not have and Meonothai.]
4:14	Meonothai was the father of Ophrah. Seraiah was the father of Joab, the father of Ge Harashim. [Ge Harashim means valley of craftsmen.] It was called this because its people were craftsmen.
4:15	The sons of Caleb son of Jephunneh: Iru, Elah and Naam. The son of Elah: Kenaz.
4:16	The sons of Jehallelel: Ziph, Ziphah, Tiria and Asarel.
4:17	The sons of Ezrah: Jether, Mered, Epher and Jalon. One of Mered’s wives gave birth to Miriam, Shammai and Ishbah the father of Eshtemoa.
4:18	(His Judean wife gave birth to Jered the father of Gedor, Heber the father of Soco, and Jekuthiel the father of Zanoah.) These were the children of Pharaoh’s daughter Bithiah, whom Mered had married.
4:19	The sons of Hodiah’s wife, the sister of Naham: the father of Keilah the Garmite, and Eshtemoa the Maacathite.
4:20	The sons of Shimon: Amnon, Rinnah, Ben-Hanan and Tilon. The descendants of Ishi: Zoheth and Ben-Zoheth.
4:21	The sons of Shelah son of Judah: Er the father of Lecah, Laadah the father of Mareshah and the clans of the linen workers at Beth Ashbea,
4:22	Jokim, the men of Cozeba, and Joash and Saraph, who ruled in Moab and Jashubi Lehem. (These records are from ancient times.)
4:23	They were the potters who lived at Netaim and Gederah; they stayed there and worked for the king.
4:24	The descendants of Simeon: Nemuel, Jamin, Jarib, Zerah and Shaul;
4:25	Shallum was Shaul’s son, Mibsam his son and Mishma his son.
4:26	The descendants of Mishma: Hammuel his son, Zaccur his son and Shimei his son.
4:27	Shimei had sixteen sons and six daughters, but his brothers did not have many children; so their entire clan did not become as numerous as the people of Judah.
4:28	They lived in Beersheba, Moladah, Hazar Shual,
4:29	Bilhah, Ezem, Tolad,
4:30	Bethuel, Hormah, Ziklag,
4:31	Beth Marcaboth, Hazar Susim, Beth Biri and Shaaraim. These were their towns until the reign of David.
4:32	Their surrounding villages were Etam, Ain, Rimmon, Token and Ashan — five towns —
4:33	and all the villages around these towns as far as Baalath. [Some Septuagint manuscripts (see also Joshua 19:8); Hebrew Baal] These were their settlements. And they kept a genealogical record.
4:34	Meshobab, Jamlech, Joshah son of Amaziah,
4:35	Joel, Jehu son of Joshibiah, the son of Seraiah, the son of Asiel,
4:36	also Elioenai, Jaakobah, Jeshohaiah, Asaiah, Adiel, Jesimiel, Benaiah,
4:37	and Ziza son of Shiphi, the son of Allon, the son of Jedaiah, the son of Shimri, the son of Shemaiah.
4:38	The men listed above by name were leaders of their clans. Their families increased greatly,
4:39	and they went to the outskirts of Gedor to the east of the valley in search of pasture for their flocks.
4:40	They found rich, good pasture, and the land was spacious, peaceful and quiet. Some Hamites had lived there formerly.
4:41	The men whose names were listed came in the days of Hezekiah king of Judah. They attacked the Hamites in their dwellings and also the Meunites who were there and completely destroyed [The Hebrew term refers to the irrevocable giving over of things or persons to the LORD, often by totally destroying them.] them, as is evident to this day. Then they settled in their place, because there was pasture for their flocks.
4:42	And five hundred of these Simeonites, led by Pelatiah, Neariah, Rephaiah and Uzziel, the sons of Ishi, invaded the hill country of Seir.
4:43	They killed the remaining Amalekites who had escaped, and they have lived there to this day.
5:1	The sons of Reuben the firstborn of Israel (he was the firstborn, but when he defiled his father’s marriage bed, his rights as firstborn were given to the sons of Joseph son of Israel; so he could not be listed in the genealogical record in accordance with his birthright,
5:2	and though Judah was the strongest of his brothers and a ruler came from him, the rights of the firstborn belonged to Joseph) —
5:3	the sons of Reuben the firstborn of Israel: Hanoch, Pallu, Hezron and Carmi.
5:4	The descendants of Joel: Shemaiah his son, Gog his son, Shimei his son,
5:5	Micah his son, Reaiah his son, Baal his son,
5:6	and Beerah his son, whom Tiglath-Pileser [Hebrew Tilgath-Pilneser, a variant of Tiglath-Pileser; also in verse 26] king of Assyria took into exile. Beerah was a leader of the Reubenites.
5:7	Their relatives by clans, listed according to their genealogical records: Jeiel the chief, Zechariah,
5:8	and Bela son of Azaz, the son of Shema, the son of Joel. They settled in the area from Aroer to Nebo and Baal Meon.
5:9	To the east they occupied the land up to the edge of the desert that extends to the Euphrates River, because their livestock had increased in Gilead.
5:10	During Saul’s reign they waged war against the Hagrites, who were defeated at their hands; they occupied the dwellings of the Hagrites throughout the entire region east of Gilead.
5:11	The Gadites lived next to them in Bashan, as far as Salecah:
5:12	Joel was the chief, Shapham the second, then Janai and Shaphat, in Bashan.
5:13	Their relatives, by families, were: Michael, Meshullam, Sheba, Jorai, Jacan, Zia and Eber — seven in all.
5:14	These were the sons of Abihail son of Huri, the son of Jaroah, the son of Gilead, the son of Michael, the son of Jeshishai, the son of Jahdo, the son of Buz.
5:15	Ahi son of Abdiel, the son of Guni, was head of their family.
5:16	The Gadites lived in Gilead, in Bashan and its outlying villages, and on all the pasture-lands of Sharon as far as they extended.
5:17	All these were entered in the genealogical records during the reigns of Jotham king of Judah and Jeroboam king of Israel.
5:18	The Reubenites, the Gadites and the half-tribe of Manasseh had 44,760 men ready for military service — able-bodied men who could handle shield and sword, who could use a bow, and who were trained for battle.
5:19	They waged war against the Hagrites, Jetur, Naphish and Nodab.
5:20	They were helped in fighting them, and God handed the Hagrites and all their allies over to them, because they cried out to him during the battle. He answered their prayers, because they trusted in him.
5:21	They seized the livestock of the Hagrites — fifty thousand camels, two hundred and fifty thousand sheep and two thousand donkeys. They also took one hundred thousand people captive,
5:22	and many others fell slain, because the battle was God’s. And they occupied the land until the exile.
5:23	The people of the half-tribe of Manasseh were numerous; they settled in the land from Bashan to Baal Hermon, that is, to Senir (Mount Hermon).
5:24	These were the heads of their families: Epher, Ishi, Eliel, Azriel, Jeremiah, Hodaviah and Jahdiel. They were brave warriors, famous men, and heads of their families.
5:25	But they were unfaithful to the God of their fathers and prostituted themselves to the gods of the peoples of the land, whom God had destroyed before them.
5:26	So the God of Israel stirred up the spirit of Pul king of Assyria (that is, Tiglath-Pileser king of Assyria), who took the Reubenites, the Gadites and the half-tribe of Manasseh into exile. He took them to Halah, Habor, Hara and the river of Gozan, where they are to this day.
6:1	The sons of Levi: Gershon, Kohath and Merari.
6:2	The sons of Kohath: Amram, Izhar, Hebron and Uzziel.
6:3	The children of Amram: Aaron, Moses and Miriam. The sons of Aaron: Nadab, Abihu, Eleazar and Ithamar.
6:4	Eleazar was the father of Phinehas, Phinehas the father of Abishua,
6:5	Abishua the father of Bukki, Bukki the father of Uzzi,
6:6	Uzzi the father of Zerahiah, Zerahiah the father of Meraioth,
6:7	Meraioth the father of Amariah, Amariah the father of Ahitub,
6:8	Ahitub the father of Zadok, Zadok the father of Ahimaaz,
6:9	Ahimaaz the father of Azariah, Azariah the father of Johanan,
6:10	Johanan the father of Azariah (it was he who served as priest in the temple Solomon built in Jerusalem),
6:11	Azariah the father of Amariah, Amariah the father of Ahitub,
6:12	Ahitub the father of Zadok, Zadok the father of Shallum,
6:13	Shallum the father of Hilkiah, Hilkiah the father of Azariah,
6:14	Azariah the father of Seraiah, and Seraiah the father of Jehozadak.
6:15	Jehozadak was deported when the LORD sent Judah and Jerusalem into exile by the hand of Nebuchadnezzar.
6:16	The sons of Levi: Gershon, [Hebrew Gershom, a variant of Gershon; also in verses 17, 20, 43, 62 and 71] Kohath and Merari.
6:17	These are the names of the sons of Gershon: Libni and Shimei.
6:18	The sons of Kohath: Amram, Izhar, Hebron and Uzziel.
6:19	The sons of Merari: Mahli and Mushi. These are the clans of the Levites listed according to their fathers:
6:20	Of Gershon: Libni his son, Jehath his son, Zimmah his son,
6:21	Joah his son, Iddo his son, Zerah his son and Jeatherai his son.
6:22	The descendants of Kohath: Amminadab his son, Korah his son, Assir his son,
6:23	Elkanah his son, Ebiasaph his son, Assir his son,
6:24	Tahath his son, Uriel his son, Uzziah his son and Shaul his son.
6:25	The descendants of Elkanah: Amasai, Ahimoth,
6:26	Elkanah his son, [Some Hebrew manuscripts, Septuagint and Syriac; most Hebrew manuscripts Ahimoth 26 and Elkanah. The sons of Elkanah:] Zophai his son, Nahath his son,
6:27	Eliab his son, Jeroham his son, Elkanah his son and Samuel his son. [Some Septuagint manuscripts (see also 1 Sam. 1:19, 20 and 1 Chron. 6:33, 34); Hebrew does not have and Samuel his son.]
6:28	The sons of Samuel: Joel [Some Septuagint manuscripts and Syriac (see also 1 Sam. 8:2 and 1 Chron. 6:33); Hebrew does not have Joel.] the firstborn and Abijah the second son.
6:29	The descendants of Merari: Mahli, Libni his son, Shimei his son, Uzzah his son,
6:30	Shimea his son, Haggiah his son and Asaiah his son.
6:31	These are the men David put in charge of the music in the house of the LORD after the ark came to rest there.
6:32	They ministered with music before the tabernacle, the Tent of Meeting, until Solomon built the temple of the LORD in Jerusalem. They performed their duties according to the regulations laid down for them.
6:33	Here are the men who served, together with their sons: From the Kohathites: Heman, the musician, the son of Joel, the son of Samuel,
6:34	the son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah,
6:35	the son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai,
6:36	the son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah,
6:37	the son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah,
6:38	the son of Izhar, the son of Kohath, the son of Levi, the son of Israel;
6:39	and Heman’s associate Asaph, who served at his right hand: Asaph son of Berekiah, the son of Shimea,
6:40	the son of Michael, the son of Baaseiah, [Most Hebrew manuscripts; some Hebrew manuscripts, one Septuagint manuscript and Syriac Maaseiah] the son of Malkijah,
6:41	the son of Ethni, the son of Zerah, the son of Adaiah,
6:42	the son of Ethan, the son of Zimmah, the son of Shimei,
6:43	the son of Jahath, the son of Gershon, the son of Levi;
6:44	and from their associates, the Merarites, at his left hand: Ethan son of Kishi, the son of Abdi, the son of Malluch,
6:45	the son of Hashabiah, the son of Amaziah, the son of Hilkiah,
6:46	the son of Amzi, the son of Bani, the son of Shemer,
6:47	the son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
6:48	Their fellow Levites were assigned to all the other duties of the tabernacle, the house of God.
6:49	But Aaron and his descendants were the ones who presented offerings on the altar of burnt offering and on the altar of incense in connection with all that was done in the Most Holy Place, making atonement for Israel, in accordance with all that Moses the servant of God had commanded.
6:50	These were the descendants of Aaron: Eleazar his son, Phinehas his son, Abishua his son,
6:51	Bukki his son, Uzzi his son, Zerahiah his son,
6:52	Meraioth his son, Amariah his son, Ahitub his son,
6:53	Zadok his son and Ahimaaz his son.
6:54	These were the locations of their settlements allotted as their territory (they were assigned to the descendants of Aaron who were from the Kohathite clan, because the first lot was for them):
6:55	They were given Hebron in Judah with its surrounding pasture-lands.
6:56	But the fields and villages around the city were given to Caleb son of Jephunneh.
6:57	So the descendants of Aaron were given Hebron (a city of refuge), and Libnah, [See Joshua 21:13; Hebrew given the cities of refuge: Hebron, Libnah.] Jattir, Eshtemoa,
6:58	Hilen, Debir,
6:59	Ashan, Juttah [Syriac (see also Septuagint and Joshua 21:16); Hebrew does not have Juttah.] and Beth Shemesh, together with their pasture-lands.
6:60	And from the tribe of Benjamin they were given Gibeon, [See Joshua 21:17; Hebrew does not have Gibeon.] Geba, Alemeth and Anathoth, together with their pasture-lands. These towns, which were distributed among the Kohathite clans, were thirteen in all.
6:61	The rest of Kohath’s descendants were allotted ten towns from the clans of half the tribe of Manasseh.
6:62	The descendants of Gershon, clan by clan, were allotted thirteen towns from the tribes of Issachar, Asher and Naphtali, and from the part of the tribe of Manasseh that is in Bashan.
6:63	The descendants of Merari, clan by clan, were allotted twelve towns from the tribes of Reuben, Gad and Zebulun.
6:64	So the Israelites gave the Levites these towns and their pasture-lands.
6:65	From the tribes of Judah, Simeon and Benjamin they allotted the previously named towns.
6:66	Some of the Kohathite clans were given as their territory towns from the tribe of Ephraim.
6:67	In the hill country of Ephraim they were given Shechem (a city of refuge), and Gezer, [See Joshua 21:21; Hebrew given the cities of refuge: Shechem, Gezer.]
6:68	Jokmeam, Beth Horon,
6:69	Aijalon and Gath Rimmon, together with their pasture-lands.
6:70	And from half the tribe of Manasseh the Israelites gave Aner and Bileam, together with their pasture-lands, to the rest of the Kohathite clans.
6:71	The Gershonites received the following: From the clan of the half-tribe of Manasseh they received Golan in Bashan and also Ashtaroth, together with their pasture-lands;
6:72	from the tribe of Issachar they received Kedesh, Daberath,
6:73	Ramoth and Anem, together with their pasture-lands;
6:74	from the tribe of Asher they received Mashal, Abdon,
6:75	Hukok and Rehob, together with their pasture-lands;
6:76	and from the tribe of Naphtali they received Kedesh in Galilee, Hammon and Kiriathaim, together with their pasture-lands.
6:77	The Merarites (the rest of the Levites) received the following: From the tribe of Zebulun they received Jokneam, Kartah, [See Septuagint and Joshua 21:34; Hebrew does not have Jokneam, Kartah.] Rimmono and Tabor, together with their pasture-lands;
6:78	from the tribe of Reuben across the Jordan east of Jericho they received Bezer in the desert, Jahzah,
6:79	Kedemoth and Mephaath, together with their pasture-lands;
6:80	and from the tribe of Gad they received Ramoth in Gilead, Mahanaim,
6:81	Heshbon and Jazer, together with their pasture-lands.
7:1	The sons of Issachar: Tola, Puah, Jashub and Shimron — four in all.
7:2	The sons of Tola: Uzzi, Rephaiah, Jeriel, Jahmai, Ibsam and Samuel — heads of their families. During the reign of David, the descendants of Tola listed as fighting men in their genealogy numbered 22,600.
7:3	The son of Uzzi: Izrahiah. The sons of Izrahiah: Michael, Obadiah, Joel and Isshiah. All five of them were chiefs.
7:4	According to their family genealogy, they had 36,000 men ready for battle, for they had many wives and children.
7:5	The relatives who were fighting men belonging to all the clans of Issachar, as listed in their genealogy, were 87,000 in all.
7:6	Three sons of Benjamin: Bela, Beker and Jediael.
