verdict	doc	line	skeleton	ref	context
CONFIRMED	Isaiah/book-overview-isaiah.md	87	לרשעימ	Isa 57:21	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	101	פשעו	Isa 1:2	The strongest: **פָּשְׁעוּ בִי** "they have rebelled against me" (1:2) and **הַפֹּשְׁעִים בִּי** "those who rebelled against me" (66:24)
CONFIRMED	Isaiah/book-overview-isaiah.md	101	פשעו	Isa 66:24	The strongest: **פָּשְׁעוּ בִי** "they have rebelled against me" (1:2) and **הַפֹּשְׁעִים בִּי** "those who rebelled against me" (66:24)
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	101	בי	Isa 1:2	The strongest: **פָּשְׁעוּ בִי** "they have rebelled against me" (1:2) and **הַפֹּשְׁעִים בִּי** "those who rebelled against me" (66:24)
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	101	בי	Isa 66:24	The strongest: **פָּשְׁעוּ בִי** "they have rebelled against me" (1:2) and **הַפֹּשְׁעִים בִּי** "those who rebelled against me" (66:24)
CONFIRMED	Isaiah/book-overview-isaiah.md	101	הפשעימ	Isa 1:2	The strongest: **פָּשְׁעוּ בִי** "they have rebelled against me" (1:2) and **הַפֹּשְׁעִים בִּי** "those who rebelled against me" (66:24)
CONFIRMED	Isaiah/book-overview-isaiah.md	101	הפשעימ	Isa 66:24	The strongest: **פָּשְׁעוּ בִי** "they have rebelled against me" (1:2) and **הַפֹּשְׁעִים בִּי** "those who rebelled against me" (66:24)
CONFIRMED	Isaiah/book-overview-isaiah.md	103	אינ	Isa 48:22	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	103	אינ	Isa 57:21	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	103	שלומ	Isa 48:22	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	103	שלומ	Isa 57:21	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	103	לרשעימ	Isa 48:22	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	103	לרשעימ	Isa 57:21	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	104	רמ	Isa 2:12-17	**The pulse, everywhere: high brought low, low raised high.** 2:12–17 levels all that is רָם וְנִשָּׂא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	ונשא	Isa 2:12-17	**The pulse, everywhere: high brought low, low raised high.** 2:12–17 levels all that is רָם וְנִשָּׂא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	רמ	Isa 6:1	6:1 the Lord sits on a throne רָם וְנִשָּׂא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	ונשא	Isa 6:1	6:1 the Lord sits on a throne רָם וְנִשָּׂא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	רמ	Isa 57:15	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	ונשא	Isa 57:15	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	דכא	Isa 57:15	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
CONFIRMED	Isaiah/book-overview-isaiah.md	141	האזינו	Isa 1:2	1:2 (הַאֲזִינוּ / שִׁמְעוּ heavens-and-earth summons ≈ Deut 32:1)
CONFIRMED	Isaiah/book-overview-isaiah.md	141	האזינו	Deut 32:1	1:2 (הַאֲזִינוּ / שִׁמְעוּ heavens-and-earth summons ≈ Deut 32:1)
CONFIRMED	Isaiah/book-overview-isaiah.md	141	שמעו	Isa 1:2	1:2 (הַאֲזִינוּ / שִׁמְעוּ heavens-and-earth summons ≈ Deut 32:1)
CONFIRMED	Isaiah/book-overview-isaiah.md	141	שמעו	Deut 32:1	1:2 (הַאֲזִינוּ / שִׁמְעוּ heavens-and-earth summons ≈ Deut 32:1)
CONFIRMED	Isaiah/book-overview-isaiah.md	141	צור	Isa 8:14	the **צוּר** *Rock* motif 8:14
UNRESOLVED-WORD	Isaiah/book-overview-isaiah.md	142	לאתהו	Isa 45:18	45:18 לֹא־תֹהוּ בְרָאָהּ (Gen 1:2 *tohu*)
UNRESOLVED-WORD	Isaiah/book-overview-isaiah.md	142	לאתהו	Gen 1:2	45:18 לֹא־תֹהוּ בְרָאָהּ (Gen 1:2 *tohu*)
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	142	בראה	Isa 45:18	45:18 לֹא־תֹהוּ בְרָאָהּ (Gen 1:2 *tohu*)
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	142	בראה	Gen 1:2	45:18 לֹא־תֹהוּ בְרָאָהּ (Gen 1:2 *tohu*)
CONFIRMED	Isaiah/book-overview-isaiah.md	147	חסדי	Isa 55:3	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
CONFIRMED	Isaiah/book-overview-isaiah.md	147	דוד	Isa 55:3	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
CONFIRMED	Isaiah/book-overview-isaiah.md	147	הנאמנימ	Isa 55:3	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
CONFIRMED	Isaiah/book-overview-isaiah.md	147	דוד	Isa 7:2	דָּוִד is named 10× (7:2, 13
CONFIRMED	Isaiah/book-overview-isaiah.md	148	אשמ	Isa 53:10	**53:10 אָשָׁם**
CONFIRMED	Isaiah/book-overview-isaiah.md	148	דרור	Isa 61:1	**61:1 דְּרוֹר**
CONFIRMED	Isaiah/book-overview-isaiah.md	151	קדוש	Isa 6:3	6:3 threefold קָדוֹשׁ
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	160	גבור	Isa 7:14	with the boundary marked.** The book presents four passages as announcing a coming figure in terms it does not apply to any contemporary: the sign-child **Immanuel** (7:14), the child whose names include אֵל גִּבּוֹר and whose government has no end (9:6–7), th
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	160	גבור	Isa 9:6-7	with the boundary marked.** The book presents four passages as announcing a coming figure in terms it does not apply to any contemporary: the sign-child **Immanuel** (7:14), the child whose names include אֵל גִּבּוֹר and whose government has no end (9:6–7), th
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	160	גבור	Isa 11:1-10	with the boundary marked.** The book presents four passages as announcing a coming figure in terms it does not apply to any contemporary: the sign-child **Immanuel** (7:14), the child whose names include אֵל גִּבּוֹר and whose government has no end (9:6–7), th
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	160	גבור	Isa 52:13	with the boundary marked.** The book presents four passages as announcing a coming figure in terms it does not apply to any contemporary: the sign-child **Immanuel** (7:14), the child whose names include אֵל גִּבּוֹר and whose government has no end (9:6–7), th
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	160	גבור	Isa 9:6	but it is a claim the book's own escalating language invites, and 9:6's אֵל גִּבּוֹר is not a title the LXX was willing to translate
CONFIRMED	Isaiah/book-overview-isaiah.md	164	עבדי	Isa 41:8	**עַבְדִּי** singular runs from 41:8 to 53:11
CONFIRMED	Isaiah/book-overview-isaiah.md	164	עבדי	Isa 53:11	**עַבְדִּי** singular runs from 41:8 to 53:11
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	168	שלחני	Isa 61:1	Note what 61:1 does lexically: **שְׁלָחַנִי**, "he has sent me"
CONFIRMED	Isaiah/book-overview-isaiah.md	206	האנשימ	Isa 66:24	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
CONFIRMED	Isaiah/book-overview-isaiah.md	206	הפשעימ	Isa 66:24	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	206	בי	Isa 66:24	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	207	ואשמ	Isa 66:24	**66:24** וְאִשָּׁם **לֹא תִכְבֶּה** "their fire shall not be quenched"
CONFIRMED	Isaiah/book-overview-isaiah.md	207	תכבה	Isa 66:24	**66:24** וְאִשָּׁם **לֹא תִכְבֶּה** "their fire shall not be quenched"
CONFIRMED	Isaiah/book-overview-isaiah.md	208	בחרתמ	Isa 1:29	**1:29** the **oaks** you desired, the **gardens** you have **chosen** (בְּחַרְתֶּם)
CONFIRMED	Isaiah/book-overview-isaiah.md	210	רמ	Isa 2:12-17	**2:12–17** everything **רָם וְנִשָּׂא** brought low
CONFIRMED	Isaiah/book-overview-isaiah.md	210	ונשא	Isa 2:12-17	**2:12–17** everything **רָם וְנִשָּׂא** brought low
CONFIRMED	Isaiah/book-overview-isaiah.md	210	רמ	Isa 6:1	**6:1** the Lord on a throne **רָם וְנִשָּׂא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	ונשא	Isa 6:1	**6:1** the Lord on a throne **רָם וְנִשָּׂא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	ירומ	Isa 52:13	**52:13** the Servant **יָרוּם וְנִשָּׂא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	ונשא	Isa 52:13	**52:13** the Servant **יָרוּם וְנִשָּׂא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	רמ	Isa 57:15	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	ונשא	Isa 57:15	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	דכא	Isa 57:15	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	מדכא	Isa 53:5	**53:5, 10** the Servant **מְדֻכָּא**
CONFIRMED	Isaiah/book-overview-isaiah.md	211	זרע	Isa 6:13	**6:13** "the **holy seed** (זֶרַע קֹדֶשׁ) is its **stump**"
CONFIRMED	Isaiah/book-overview-isaiah.md	211	קדש	Isa 6:13	**6:13** "the **holy seed** (זֶרַע קֹדֶשׁ) is its **stump**"
CONFIRMED	Isaiah/book-overview-isaiah.md	213	סריסימ	Isa 39:7	**39:7** "some of your own sons… shall be **eunuchs** (סָרִיסִים) in the palace of the king of Babylon"
CONFIRMED	Isaiah/book-overview-isaiah.md	213	סריס	Isa 39:7	סָרִיס occurs only 3× in Isaiah (39:7
CONFIRMED	Isaiah/book-overview-isaiah.md	216	תאמינו	Isa 7:9	**7:9** "if you are not firm in faith (תַאֲמִינוּ) you will not be firm at all (תֵאָמֵנוּ)"
CONFIRMED	Isaiah/book-overview-isaiah.md	216	תאמנו	Isa 7:9	**7:9** "if you are not firm in faith (תַאֲמִינוּ) you will not be firm at all (תֵאָמֵנוּ)"
CONFIRMED	Isaiah/book-overview-isaiah.md	216	המאמינ	Isa 28:16	**28:16** "the one who **believes** (הַמַּאֲמִין) will not be in haste"
CONFIRMED	Isaiah/book-overview-isaiah.md	218	מסלה	Isa 11:16	מְסִלָּה is a whole-book thread (11:16
CONFIRMED	Isaiah/book-overview-isaiah.md	219	תולעת	Isa 41:14	**41:14** "fear not, you **worm** (תּוֹלַעַת) Jacob"
CONFIRMED	Isaiah/book-overview-isaiah.md	219	תולעתמ	Isa 66:24	**66:24** "their **worm** (תּוֹלַעְתָּם) shall not die"
CONFIRMED	Isaiah/book-overview-isaiah.md	220	אילימ	Isa 1:29	**1:29** ashamed of the **oaks** (אֵילִים) that you desired
CONFIRMED	Isaiah/book-overview-isaiah.md	220	אילי	Isa 61:3	**61:3** the redeemed called **אֵילֵי הַצֶּדֶק**, "**oaks of righteousness**, the planting of the LORD"
CONFIRMED	Isaiah/book-overview-isaiah.md	220	הצדק	Isa 61:3	**61:3** the redeemed called **אֵילֵי הַצֶּדֶק**, "**oaks of righteousness**, the planting of the LORD"
CONFIRMED	Isaiah/book-overview-isaiah.md	221	הנני	Isa 6:8	**6:8** Isaiah answers **הִנְנִי**
CONFIRMED	Isaiah/book-overview-isaiah.md	221	הנני	Isa 65:1	**65:1** God says **הִנְנִי הִנְנִי**
CONFIRMED	Isaiah/book-overview-isaiah.md	222	אשלח	Isa 6:8	**6:8** "whom shall I **send** (אֶשְׁלַח)… **send me** (שְׁלָחֵנִי)"
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	222	שלחני	Isa 6:8	**6:8** "whom shall I **send** (אֶשְׁלַח)… **send me** (שְׁלָחֵנִי)"
CONFIRMED-SURFACE	Isaiah/book-overview-isaiah.md	222	שלחני	Isa 48:16	**48:16** "the Lord GOD **has sent me** (שְׁלָחַנִי), and his Spirit"
CONFIRMED	Isaiah/book-overview-isaiah.md	223	אנחמ	Isa 1:24	**1:24** "Ah, I will **vent myself** (אֶנָּחֵם) on my enemies"
CONFIRMED	Isaiah/book-overview-isaiah.md	223	אנחמ	Isa 57:6	**57:6** "Shall I **relent** (אֶנָּחֵם) for these things?"
CONFIRMED	Isaiah/book-overview-isaiah.md	224	חרד	Isa 66:2	**66:2, 5** the one who "**trembles at my word**" (חָרֵד)
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	79	הוי	Isa 55:1	55:1's הוֹי is a *gracious* summons
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	96	קדוש	Isa 1:4	**קְדוֹשׁ יִשְׂרָאֵל, the book's spine-title, has its first occurrence here (1:4)
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	96	ישראל	Isa 1:4	**קְדוֹשׁ יִשְׂרָאֵל, the book's spine-title, has its first occurrence here (1:4)
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	112	פשעו	Isa 43:27	` **פָּשְׁעוּ בִי** (v.2) → 43:27 → **66:24** (only three occurrences)
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	112	פשעו	Isa 66:24	` **פָּשְׁעוּ בִי** (v.2) → 43:27 → **66:24** (only three occurrences)
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	112	בי	Isa 43:27	` **פָּשְׁעוּ בִי** (v.2) → 43:27 → **66:24** (only three occurrences)
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	112	בי	Isa 66:24	` **פָּשְׁעוּ בִי** (v.2) → 43:27 → **66:24** (only three occurrences)
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	112	ואינ	Isa 66:24	**וְאֵין מְכַבֶּה** (v.31) → **66:24** *"their fire shall not be quenched"*
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	112	מכבה	Isa 66:24	**וְאֵין מְכַבֶּה** (v.31) → **66:24** *"their fire shall not be quenched"*
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	112	בחרתמ	Isa 65:12	**בְּחַרְתֶּם** *"you have chosen"* (v.29) → 65:12
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	112	אנחמ	Isa 57:6	**אֶנָּחֵם** (v.24) → 57:6 (only two occurrences of this form)
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	127	רמ	Isa 2:2	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	127	רמ	Isa 2:12-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	127	רמ	Isa 2:11-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	127	נשא	Isa 2:2	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	127	נשא	Isa 2:12-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	127	נשא	Isa 2:11-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	127	גבה	Isa 2:2	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	127	גבה	Isa 2:12-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	127	גבה	Isa 2:11-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	131	ביומ	Isa 2:11	**"In that day" (בַּיּוֹם הַהוּא) fires six times in 2:11–4:2 alone** `[T]`
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	131	ההוא	Isa 2:11	**"In that day" (בַּיּוֹם הַהוּא) fires six times in 2:11–4:2 alone** `[T]`
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	140	צמח	Isa 4:2	- **Vocabulary.** **צֶמַח יְהוָה** (4:2) "the branch of the LORD"
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	140	יהוה	Isa 4:2	- **Vocabulary.** **צֶמַח יְהוָה** (4:2) "the branch of the LORD"
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	144	סכה	Isa 4:6	God's presence over it, and a **סֻכָּה** (booth, 4:6) for shade
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	145	רמ	Isa 2:12-17	` 2:12–17's רָם וְנִשָּׂא → 6:1
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	145	רמ	Isa 6:1	` 2:12–17's רָם וְנִשָּׂא → 6:1
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	145	ונשא	Isa 2:12-17	` 2:12–17's רָם וְנִשָּׂא → 6:1
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	145	ונשא	Isa 6:1	` 2:12–17's רָם וְנִשָּׂא → 6:1
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	177	נס	Isa 11:10	` v.26's **נֵס** *"signal for nations far away"* → 11:10, 12
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	192	רמ	Isa 2:12-17	**The chapter's opening phrase, רָם וְנִשָּׂא, is the exact phrase 2:12–17 has just said God will destroy in every human instance
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	192	ונשא	Isa 2:12-17	**The chapter's opening phrase, רָם וְנִשָּׂא, is the exact phrase 2:12–17 has just said God will destroy in every human instance
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	236	עלמה	Isa 7:14	- **Vocabulary / Hebrew.** **עַלְמָה** *ʿalmâ* (7:14) with the **article**
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	237	וקראת	Isa 7:14	*High confidence.* Note also MT **וְקָרָאת** (7:14)
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	238	לכנ	Isa 8:6-7	- **Linking words.** 8:6–7 **לָכֵן**
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	242	אמנ	Isa 7:9	` 7:9's **אמן** → **28:16** *"the one who believes (ha-maʾămîn) will not be in haste"*, the inscription on the foundation stone *(high)* `[T]`
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	242	אמנ	Isa 28:16	` 7:9's **אמן** → **28:16** *"the one who believes (ha-maʾămîn) will not be in haste"*, the inscription on the foundation stone *(high)* `[T]`
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	270	שאר	Isa 10:21	- **Vocabulary.** **שְׁאָר יָשׁוּב** (10:21)
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	270	ישוב	Isa 10:21	- **Vocabulary.** **שְׁאָר יָשׁוּב** (10:21)
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	270	גבור	Isa 7:3	Isaiah's son's name (7:3) quoted back as an oracle: *"A remnant shall return, the remnant of Jacob, to the mighty God."* `[T, high]` **אֵל גִּבּוֹר** in 10:21 is the same title given to the child at 9:6
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	270	גבור	Isa 10:21	Isaiah's son's name (7:3) quoted back as an oracle: *"A remnant shall return, the remnant of Jacob, to the mighty God."* `[T, high]` **אֵל גִּבּוֹר** in 10:21 is the same title given to the child at 9:6
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	270	גבור	Isa 9:6	Isaiah's son's name (7:3) quoted back as an oracle: *"A remnant shall return, the remnant of Jacob, to the mighty God."* `[T, high]` **אֵל גִּבּוֹר** in 10:21 is the same title given to the child at 9:6
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	293	שנית	Isa 11:11	**11:11's "a **second time**" (שֵׁנִית) is the book's first explicit new-exodus claim.** `[T]` Surfaced by: Vocabulary, Biblical Theology
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	301	חטר	Isa 11:1	- **Vocabulary / Hebrew.** **חֹטֶר** (shoot) and **נֵצֶר** (branch, 11:1)
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	301	נצר	Isa 11:1	- **Vocabulary / Hebrew.** **חֹטֶר** (shoot) and **נֵצֶר** (branch, 11:1)
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	301	נצר	Isa 60:21	**נֵצֶר** returns at **60:21** ("the branch of my planting") applied to *the people* `[T]`
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	301	נס	Isa 11:10	**נֵס** (11:10, 12) "banner/signal"
CONFIRMED-SURFACE	Isaiah/dig-deeper-isaiah-sweep.md	306	ידע	Isa 11:9	11:9's *"the earth shall be full of the knowledge of the LORD"* answers 1:3's *"Israel does not know, my people do not understand"*, the same root **ידע** *(high)* `[T]`
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	306	ידע	Isa 1:3	11:9's *"the earth shall be full of the knowledge of the LORD"* answers 1:3's *"Israel does not know, my people do not understand"*, the same root **ידע** *(high)* `[T]`
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	306	נס	Isa 11:10	11:10's **נֵס** → 49:22
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	306	נס	Isa 49:22	11:10's **נֵס** → 49:22
CONFIRMED	Isaiah/dig-deeper-isaiah-sweep.md	333	משא	Isa 13:1	- **Vocabulary.** **מַשָּׂא** *maśśāʾ* (13:1)
